#    L    TT             EE             BB             TE             PP             TP             EP          
   721   0.209952E+04   0.284829E+02   0.000000E+00  -0.130439E+03   0.124940E-07   0.124419E-04  -0.108172E-05
   722   0.210866E+04   0.282412E+02   0.000000E+00  -0.130726E+03   0.124681E-07   0.124602E-04  -0.107491E-05
   723   0.211783E+04   0.279969E+02   0.000000E+00  -0.130978E+03   0.124423E-07   0.124779E-04  -0.106799E-05
   724   0.212701E+04   0.277501E+02   0.000000E+00  -0.131193E+03   0.124166E-07   0.124948E-04  -0.106096E-05
   725   0.213620E+04   0.275008E+02   0.000000E+00  -0.131370E+03   0.123910E-07   0.125110E-04  -0.105382E-05
   726   0.214540E+04   0.272492E+02   0.000000E+00  -0.131512E+03   0.123654E-07   0.125266E-04  -0.104657E-05
   727   0.215461E+04   0.269953E+02   0.000000E+00  -0.131616E+03   0.123399E-07   0.125413E-04  -0.103922E-05
   728   0.216382E+04   0.267394E+02   0.000000E+00  -0.131684E+03   0.123145E-07   0.125554E-04  -0.103176E-05
   729   0.217302E+04   0.264816E+02   0.000000E+00  -0.131713E+03   0.122892E-07   0.125687E-04  -0.102421E-05
   730   0.218222E+04   0.262218E+02   0.000000E+00  -0.131706E+03   0.122640E-07   0.125812E-04  -0.101655E-05
   731   0.219140E+04   0.259603E+02   0.000000E+00  -0.131662E+03   0.122389E-07   0.125929E-04  -0.100879E-05
   732   0.220056E+04   0.256972E+02   0.000000E+00  -0.131580E+03   0.122138E-07   0.126038E-04  -0.100093E-05
   733   0.220970E+04   0.254327E+02   0.000000E+00  -0.131461E+03   0.121888E-07   0.126140E-04  -0.992980E-06
   734   0.221881E+04   0.251668E+02   0.000000E+00  -0.131303E+03   0.121640E-07   0.126233E-04  -0.984932E-06
   735   0.222788E+04   0.248997E+02   0.000000E+00  -0.131109E+03   0.121391E-07   0.126318E-04  -0.976791E-06
   736   0.223692E+04   0.246316E+02   0.000000E+00  -0.130876E+03   0.121144E-07   0.126394E-04  -0.968558E-06
   737   0.224592E+04   0.243625E+02   0.000000E+00  -0.130607E+03   0.120898E-07   0.126462E-04  -0.960235E-06
   738   0.225486E+04   0.240927E+02   0.000000E+00  -0.130299E+03   0.120652E-07   0.126522E-04  -0.951822E-06
   739   0.226376E+04   0.238222E+02   0.000000E+00  -0.129954E+03   0.120407E-07   0.126572E-04  -0.943322E-06
   740   0.227260E+04   0.235512E+02   0.000000E+00  -0.129571E+03   0.120163E-07   0.126614E-04  -0.934737E-06
   741   0.228136E+04   0.232800E+02   0.000000E+00  -0.129151E+03   0.119919E-07   0.126647E-04  -0.926067E-06
   742   0.229006E+04   0.230086E+02   0.000000E+00  -0.128695E+03   0.119677E-07   0.126671E-04  -0.917313E-06
   743   0.229870E+04   0.227372E+02   0.000000E+00  -0.128201E+03   0.119435E-07   0.126686E-04  -0.908479E-06
   744   0.230724E+04   0.224659E+02   0.000000E+00  -0.127669E+03   0.119194E-07   0.126691E-04  -0.899564E-06
   745   0.231570E+04   0.221950E+02   0.000000E+00  -0.127101E+03   0.118954E-07   0.126687E-04  -0.890571E-06
   746   0.232407E+04   0.219246E+02   0.000000E+00  -0.126497E+03   0.118714E-07   0.126674E-04  -0.881500E-06
   747   0.233235E+04   0.216548E+02   0.000000E+00  -0.125856E+03   0.118475E-07   0.126651E-04  -0.872355E-06
   748   0.234052E+04   0.213857E+02   0.000000E+00  -0.125179E+03   0.118238E-07   0.126618E-04  -0.863135E-06
   749   0.234860E+04   0.211175E+02   0.000000E+00  -0.124466E+03   0.118000E-07   0.126575E-04  -0.853843E-06
   750   0.235656E+04   0.208504E+02   0.000000E+00  -0.123718E+03   0.117764E-07   0.126522E-04  -0.844479E-06
   751   0.236441E+04   0.205845E+02   0.000000E+00  -0.122933E+03   0.117528E-07   0.126460E-04  -0.835047E-06
   752   0.237213E+04   0.203198E+02   0.000000E+00  -0.122113E+03   0.117293E-07   0.126387E-04  -0.825546E-06
   753   0.237973E+04   0.200566E+02   0.000000E+00  -0.121259E+03   0.117059E-07   0.126305E-04  -0.815980E-06
   754   0.238722E+04   0.197948E+02   0.000000E+00  -0.120369E+03   0.116825E-07   0.126213E-04  -0.806349E-06
   755   0.239457E+04   0.195347E+02   0.000000E+00  -0.119446E+03   0.116592E-07   0.126111E-04  -0.796656E-06
   756   0.240180E+04   0.192763E+02   0.000000E+00  -0.118488E+03   0.116360E-07   0.126000E-04  -0.786903E-06
   757   0.240890E+04   0.190198E+02   0.000000E+00  -0.117496E+03   0.116129E-07   0.125880E-04  -0.777091E-06
   758   0.241587E+04   0.187653E+02   0.000000E+00  -0.116473E+03   0.115898E-07   0.125752E-04  -0.767222E-06
   759   0.242271E+04   0.185128E+02   0.000000E+00  -0.115416E+03   0.115668E-07   0.125614E-04  -0.757297E-06
   760   0.242941E+04   0.182626E+02   0.000000E+00  -0.114327E+03   0.115439E-07   0.125468E-04  -0.747320E-06
   761   0.243598E+04   0.180147E+02   0.000000E+00  -0.113206E+03   0.115211E-07   0.125313E-04  -0.737291E-06
   762   0.244240E+04   0.177692E+02   0.000000E+00  -0.112053E+03   0.114983E-07   0.125150E-04  -0.727212E-06
   763   0.244869E+04   0.175262E+02   0.000000E+00  -0.110869E+03   0.114756E-07   0.124978E-04  -0.717085E-06
   764   0.245481E+04   0.172858E+02   0.000000E+00  -0.109653E+03   0.114529E-07   0.124799E-04  -0.706912E-06
   765   0.246079E+04   0.170481E+02   0.000000E+00  -0.108407E+03   0.114304E-07   0.124612E-04  -0.696694E-06
   766   0.246661E+04   0.168132E+02   0.000000E+00  -0.107130E+03   0.114079E-07   0.124417E-04  -0.686434E-06
   767   0.247226E+04   0.165810E+02   0.000000E+00  -0.105822E+03   0.113854E-07   0.124214E-04  -0.676134E-06
   768   0.247775E+04   0.163519E+02   0.000000E+00  -0.104485E+03   0.113631E-07   0.124004E-04  -0.665794E-06
   769   0.248307E+04   0.161259E+02   0.000000E+00  -0.103118E+03   0.113408E-07   0.123787E-04  -0.655417E-06
   770   0.248822E+04   0.159032E+02   0.000000E+00  -0.101723E+03   0.113186E-07   0.123563E-04  -0.645005E-06
   771   0.249319E+04   0.156838E+02   0.000000E+00  -0.100300E+03   0.112964E-07   0.123332E-04  -0.634559E-06
   772   0.249799E+04   0.154678E+02   0.000000E+00  -0.988496E+02   0.112743E-07   0.123094E-04  -0.624082E-06
   773   0.250260E+04   0.152555E+02   0.000000E+00  -0.973727E+02   0.112523E-07   0.122850E-04  -0.613574E-06
   774   0.250703E+04   0.150469E+02   0.000000E+00  -0.958699E+02   0.112304E-07   0.122599E-04  -0.603038E-06
   775   0.251127E+04   0.148420E+02   0.000000E+00  -0.943415E+02   0.112085E-07   0.122342E-04  -0.592476E-06
   776   0.251533E+04   0.146411E+02   0.000000E+00  -0.927892E+02   0.111866E-07   0.122079E-04  -0.581890E-06
   777   0.251920E+04   0.144442E+02   0.000000E+00  -0.912125E+02   0.111649E-07   0.121810E-04  -0.571280E-06
   778   0.252289E+04   0.142514E+02   0.000000E+00  -0.896131E+02   0.111432E-07   0.121535E-04  -0.560650E-06
   779   0.252640E+04   0.140628E+02   0.000000E+00  -0.879905E+02   0.111216E-07   0.121254E-04  -0.550000E-06
   780   0.252972E+04   0.138785E+02   0.000000E+00  -0.863473E+02   0.111000E-07   0.120968E-04  -0.539333E-06
   781   0.253286E+04   0.136985E+02   0.000000E+00  -0.846829E+02   0.110785E-07   0.120677E-04  -0.528651E-06
   782   0.253580E+04   0.135230E+02   0.000000E+00  -0.829982E+02   0.110571E-07   0.120380E-04  -0.517954E-06
   783   0.253855E+04   0.133520E+02   0.000000E+00  -0.812929E+02   0.110357E-07   0.120079E-04  -0.507246E-06
   784   0.254111E+04   0.131857E+02   0.000000E+00  -0.795686E+02   0.110144E-07   0.119773E-04  -0.496527E-06
   785   0.254347E+04   0.130240E+02   0.000000E+00  -0.778248E+02   0.109932E-07   0.119462E-04  -0.485800E-06
   786   0.254561E+04   0.128671E+02   0.000000E+00  -0.760618E+02   0.109720E-07   0.119146E-04  -0.475067E-06
   787   0.254755E+04   0.127150E+02   0.000000E+00  -0.742814E+02   0.109509E-07   0.118826E-04  -0.464328E-06
   788   0.254928E+04   0.125679E+02   0.000000E+00  -0.724822E+02   0.109299E-07   0.118502E-04  -0.453587E-06
   789   0.255079E+04   0.124258E+02   0.000000E+00  -0.706667E+02   0.109089E-07   0.118174E-04  -0.442844E-06
   790   0.255209E+04   0.122889E+02   0.000000E+00  -0.688345E+02   0.108880E-07   0.117842E-04  -0.432102E-06
   791   0.255316E+04   0.121573E+02   0.000000E+00  -0.669888E+02   0.108671E-07   0.117506E-04  -0.421363E-06
   792   0.255403E+04   0.120311E+02   0.000000E+00  -0.651290E+02   0.108463E-07   0.117166E-04  -0.410627E-06
   793   0.255467E+04   0.119105E+02   0.000000E+00  -0.632569E+02   0.108256E-07   0.116824E-04  -0.399898E-06
   794   0.255509E+04   0.117955E+02   0.000000E+00  -0.613735E+02   0.108049E-07   0.116478E-04  -0.389176E-06
   795   0.255529E+04   0.116864E+02   0.000000E+00  -0.594806E+02   0.107843E-07   0.116128E-04  -0.378464E-06
   796   0.255528E+04   0.115830E+02   0.000000E+00  -0.575775E+02   0.107637E-07   0.115776E-04  -0.367763E-06
   797   0.255505E+04   0.114854E+02   0.000000E+00  -0.556661E+02   0.107432E-07   0.115422E-04  -0.357075E-06
   798   0.255459E+04   0.113937E+02   0.000000E+00  -0.537467E+02   0.107228E-07   0.115064E-04  -0.346403E-06
   799   0.255393E+04   0.113079E+02   0.000000E+00  -0.518201E+02   0.107024E-07   0.114704E-04  -0.335747E-06
   800   0.255304E+04   0.112281E+02   0.000000E+00  -0.498858E+02   0.106821E-07   0.114342E-04  -0.325110E-06
   801   0.255194E+04   0.111542E+02   0.000000E+00  -0.479464E+02   0.106618E-07   0.113977E-04  -0.314493E-06
   802   0.255062E+04   0.110862E+02   0.000000E+00  -0.460011E+02   0.106416E-07   0.113611E-04  -0.303896E-06
   803   0.254909E+04   0.110244E+02   0.000000E+00  -0.440506E+02   0.106215E-07   0.113242E-04  -0.293321E-06
   804   0.254734E+04   0.109685E+02   0.000000E+00  -0.420964E+02   0.106014E-07   0.112871E-04  -0.282767E-06
   805   0.254537E+04   0.109188E+02   0.000000E+00  -0.401376E+02   0.105814E-07   0.112498E-04  -0.272234E-06
   806   0.254316E+04   0.108753E+02   0.000000E+00  -0.381765E+02   0.105614E-07   0.112122E-04  -0.261724E-06
   807   0.254072E+04   0.108381E+02   0.000000E+00  -0.362116E+02   0.105415E-07   0.111745E-04  -0.251236E-06
   808   0.253806E+04   0.108072E+02   0.000000E+00  -0.342458E+02   0.105216E-07   0.111364E-04  -0.240772E-06
   809   0.253516E+04   0.107826E+02   0.000000E+00  -0.322782E+02   0.105018E-07   0.110982E-04  -0.230330E-06
   810   0.253202E+04   0.107644E+02   0.000000E+00  -0.303098E+02   0.104821E-07   0.110597E-04  -0.219911E-06
   811   0.252866E+04   0.107526E+02   0.000000E+00  -0.283419E+02   0.104624E-07   0.110210E-04  -0.209517E-06
   812   0.252508E+04   0.107470E+02   0.000000E+00  -0.263753E+02   0.104428E-07   0.109820E-04  -0.199147E-06
   813   0.252128E+04   0.107478E+02   0.000000E+00  -0.244110E+02   0.104232E-07   0.109428E-04  -0.188801E-06
   814   0.251727E+04   0.107548E+02   0.000000E+00  -0.224496E+02   0.104037E-07   0.109033E-04  -0.178480E-06
   815   0.251306E+04   0.107680E+02   0.000000E+00  -0.204923E+02   0.103842E-07   0.108636E-04  -0.168185E-06
   816   0.250864E+04   0.107876E+02   0.000000E+00  -0.185397E+02   0.103648E-07   0.108236E-04  -0.157915E-06
   817   0.250402E+04   0.108134E+02   0.000000E+00  -0.165923E+02   0.103455E-07   0.107834E-04  -0.147671E-06
   818   0.249920E+04   0.108454E+02   0.000000E+00  -0.146504E+02   0.103262E-07   0.107429E-04  -0.137453E-06
   819   0.249416E+04   0.108836E+02   0.000000E+00  -0.127144E+02   0.103069E-07   0.107021E-04  -0.127262E-06
   820   0.248891E+04   0.109282E+02   0.000000E+00  -0.107847E+02   0.102877E-07   0.106611E-04  -0.117097E-06
   821   0.248344E+04   0.109790E+02   0.000000E+00  -0.886164E+01   0.102686E-07   0.106198E-04  -0.106961E-06
   822   0.247775E+04   0.110361E+02   0.000000E+00  -0.694545E+01   0.102495E-07   0.105782E-04  -0.968514E-07
   823   0.247183E+04   0.110995E+02   0.000000E+00  -0.503663E+01   0.102305E-07   0.105364E-04  -0.867702E-07
   824   0.246569E+04   0.111691E+02   0.000000E+00  -0.313621E+01   0.102115E-07   0.104943E-04  -0.767174E-07
   825   0.245935E+04   0.112449E+02   0.000000E+00  -0.124532E+01   0.101926E-07   0.104519E-04  -0.666933E-07
   826   0.245280E+04   0.113270E+02   0.000000E+00   0.634858E+00   0.101738E-07   0.104092E-04  -0.566983E-07
   827   0.244605E+04   0.114151E+02   0.000000E+00   0.250318E+01   0.101549E-07   0.103662E-04  -0.467327E-07
   828   0.243911E+04   0.115093E+02   0.000000E+00   0.435865E+01   0.101362E-07   0.103230E-04  -0.367969E-07
   829   0.243199E+04   0.116095E+02   0.000000E+00   0.620001E+01   0.101175E-07   0.102795E-04  -0.268911E-07
   830   0.242470E+04   0.117158E+02   0.000000E+00   0.802627E+01   0.100988E-07   0.102356E-04  -0.170159E-07
   831   0.241722E+04   0.118281E+02   0.000000E+00   0.983709E+01   0.100802E-07   0.101915E-04  -0.717143E-08
   832   0.240957E+04   0.119462E+02   0.000000E+00   0.116320E+02   0.100617E-07   0.101471E-04   0.264187E-08
   833   0.240173E+04   0.120703E+02   0.000000E+00   0.134108E+02   0.100432E-07   0.101024E-04   0.124237E-07
   834   0.239371E+04   0.122002E+02   0.000000E+00   0.151731E+02   0.100247E-07   0.100573E-04   0.221736E-07
   835   0.238550E+04   0.123360E+02   0.000000E+00   0.169185E+02   0.100063E-07   0.100120E-04   0.318913E-07
   836   0.237710E+04   0.124776E+02   0.000000E+00   0.186469E+02   0.998798E-08   0.996636E-05   0.415765E-07
   837   0.236850E+04   0.126250E+02   0.000000E+00   0.203576E+02   0.996968E-08   0.992041E-05   0.512288E-07
   838   0.235973E+04   0.127781E+02   0.000000E+00   0.220500E+02   0.995144E-08   0.987414E-05   0.608479E-07
   839   0.235077E+04   0.129368E+02   0.000000E+00   0.237230E+02   0.993324E-08   0.982756E-05   0.704333E-07
   840   0.234164E+04   0.131010E+02   0.000000E+00   0.253757E+02   0.991510E-08   0.978065E-05   0.799848E-07
   841   0.233235E+04   0.132705E+02   0.000000E+00   0.270071E+02   0.989700E-08   0.973343E-05   0.895021E-07
   842   0.232291E+04   0.134454E+02   0.000000E+00   0.286162E+02   0.987896E-08   0.968588E-05   0.989846E-07
   843   0.231331E+04   0.136255E+02   0.000000E+00   0.302021E+02   0.986096E-08   0.963800E-05   0.108432E-06
   844   0.230357E+04   0.138107E+02   0.000000E+00   0.317638E+02   0.984301E-08   0.958979E-05   0.117844E-06
   845   0.229369E+04   0.140009E+02   0.000000E+00   0.333009E+02   0.982512E-08   0.954124E-05   0.127221E-06
   846   0.228367E+04   0.141961E+02   0.000000E+00   0.348127E+02   0.980727E-08   0.949236E-05   0.136562E-06
   847   0.227350E+04   0.143963E+02   0.000000E+00   0.362987E+02   0.978947E-08   0.944315E-05   0.145866E-06
   848   0.226319E+04   0.146014E+02   0.000000E+00   0.377583E+02   0.977171E-08   0.939359E-05   0.155133E-06
   849   0.225274E+04   0.148114E+02   0.000000E+00   0.391911E+02   0.975401E-08   0.934369E-05   0.164364E-06
   850   0.224213E+04   0.150263E+02   0.000000E+00   0.405964E+02   0.973635E-08   0.929344E-05   0.173556E-06
   851   0.223139E+04   0.152460E+02   0.000000E+00   0.419738E+02   0.971874E-08   0.924284E-05   0.182711E-06
   852   0.222051E+04   0.154703E+02   0.000000E+00   0.433231E+02   0.970118E-08   0.919190E-05   0.191827E-06
   853   0.220950E+04   0.156992E+02   0.000000E+00   0.446439E+02   0.968367E-08   0.914063E-05   0.200903E-06
   854   0.219835E+04   0.159324E+02   0.000000E+00   0.459362E+02   0.966620E-08   0.908903E-05   0.209937E-06
   855   0.218710E+04   0.161700E+02   0.000000E+00   0.471996E+02   0.964878E-08   0.903712E-05   0.218929E-06
   856   0.217572E+04   0.164117E+02   0.000000E+00   0.484339E+02   0.963141E-08   0.898491E-05   0.227877E-06
   857   0.216424E+04   0.166573E+02   0.000000E+00   0.496389E+02   0.961408E-08   0.893239E-05   0.236779E-06
   858   0.215266E+04   0.169068E+02   0.000000E+00   0.508144E+02   0.959680E-08   0.887958E-05   0.245635E-06
   859   0.214098E+04   0.171601E+02   0.000000E+00   0.519597E+02   0.957956E-08   0.882649E-05   0.254443E-06
   860   0.212920E+04   0.174173E+02   0.000000E+00   0.530744E+02   0.956237E-08   0.877312E-05   0.263203E-06
   861   0.211733E+04   0.176781E+02   0.000000E+00   0.541579E+02   0.954523E-08   0.871949E-05   0.271912E-06
   862   0.210536E+04   0.179425E+02   0.000000E+00   0.552094E+02   0.952814E-08   0.866561E-05   0.280570E-06
   863   0.209331E+04   0.182107E+02   0.000000E+00   0.562286E+02   0.951108E-08   0.861147E-05   0.289175E-06
   864   0.208117E+04   0.184823E+02   0.000000E+00   0.572147E+02   0.949408E-08   0.855709E-05   0.297726E-06
   865   0.206894E+04   0.187575E+02   0.000000E+00   0.581673E+02   0.947712E-08   0.850249E-05   0.306223E-06
   866   0.205664E+04   0.190360E+02   0.000000E+00   0.590864E+02   0.946020E-08   0.844765E-05   0.314663E-06
   867   0.204425E+04   0.193178E+02   0.000000E+00   0.599722E+02   0.944333E-08   0.839261E-05   0.323045E-06
   868   0.203179E+04   0.196027E+02   0.000000E+00   0.608247E+02   0.942651E-08   0.833735E-05   0.331369E-06
   869   0.201925E+04   0.198906E+02   0.000000E+00   0.616442E+02   0.940973E-08   0.828190E-05   0.339633E-06
   870   0.200664E+04   0.201815E+02   0.000000E+00   0.624305E+02   0.939299E-08   0.822625E-05   0.347835E-06
   871   0.199395E+04   0.204750E+02   0.000000E+00   0.631840E+02   0.937630E-08   0.817043E-05   0.355975E-06
   872   0.198121E+04   0.207712E+02   0.000000E+00   0.639047E+02   0.935965E-08   0.811443E-05   0.364051E-06
   873   0.196839E+04   0.210697E+02   0.000000E+00   0.645923E+02   0.934305E-08   0.805827E-05   0.372062E-06
   874   0.195552E+04   0.213707E+02   0.000000E+00   0.652466E+02   0.932649E-08   0.800195E-05   0.380007E-06
   875   0.194260E+04   0.216738E+02   0.000000E+00   0.658673E+02   0.930997E-08   0.794548E-05   0.387884E-06
   876   0.192964E+04   0.219789E+02   0.000000E+00   0.664542E+02   0.929350E-08   0.788887E-05   0.395693E-06
   877   0.191663E+04   0.222859E+02   0.000000E+00   0.670068E+02   0.927707E-08   0.783213E-05   0.403432E-06
   878   0.190360E+04   0.225945E+02   0.000000E+00   0.675250E+02   0.926068E-08   0.777527E-05   0.411100E-06
   879   0.189054E+04   0.229048E+02   0.000000E+00   0.680086E+02   0.924434E-08   0.771829E-05   0.418695E-06
   880   0.187746E+04   0.232165E+02   0.000000E+00   0.684572E+02   0.922804E-08   0.766121E-05   0.426217E-06
   881   0.186435E+04   0.235296E+02   0.000000E+00   0.688707E+02   0.921178E-08   0.760403E-05   0.433664E-06
   882   0.185123E+04   0.238439E+02   0.000000E+00   0.692489E+02   0.919556E-08   0.754675E-05   0.441035E-06
   883   0.183809E+04   0.241593E+02   0.000000E+00   0.695915E+02   0.917939E-08   0.748940E-05   0.448328E-06
   884   0.182494E+04   0.244757E+02   0.000000E+00   0.698984E+02   0.916326E-08   0.743197E-05   0.455543E-06
   885   0.181178E+04   0.247931E+02   0.000000E+00   0.701693E+02   0.914717E-08   0.737449E-05   0.462678E-06
   886   0.179860E+04   0.251111E+02   0.000000E+00   0.704041E+02   0.913112E-08   0.731694E-05   0.469732E-06
   887   0.178543E+04   0.254299E+02   0.000000E+00   0.706030E+02   0.911512E-08   0.725935E-05   0.476703E-06
   888   0.177226E+04   0.257491E+02   0.000000E+00   0.707662E+02   0.909915E-08   0.720171E-05   0.483592E-06
   889   0.175908E+04   0.260685E+02   0.000000E+00   0.708940E+02   0.908323E-08   0.714405E-05   0.490395E-06
   890   0.174592E+04   0.263882E+02   0.000000E+00   0.709864E+02   0.906735E-08   0.708636E-05   0.497112E-06
   891   0.173277E+04   0.267079E+02   0.000000E+00   0.710440E+02   0.905151E-08   0.702866E-05   0.503743E-06
   892   0.171964E+04   0.270274E+02   0.000000E+00   0.710667E+02   0.903571E-08   0.697095E-05   0.510284E-06
   893   0.170652E+04   0.273467E+02   0.000000E+00   0.710549E+02   0.901995E-08   0.691325E-05   0.516736E-06
   894   0.169345E+04   0.276653E+02   0.000000E+00   0.710087E+02   0.900423E-08   0.685556E-05   0.523097E-06
   895   0.168039E+04   0.279834E+02   0.000000E+00   0.709281E+02   0.898855E-08   0.679788E-05   0.529366E-06
   896   0.166737E+04   0.283007E+02   0.000000E+00   0.708136E+02   0.897292E-08   0.674024E-05   0.535542E-06
   897   0.165439E+04   0.286169E+02   0.000000E+00   0.706650E+02   0.895732E-08   0.668263E-05   0.541623E-06
   898   0.164145E+04   0.289319E+02   0.000000E+00   0.704826E+02   0.894176E-08   0.662506E-05   0.547607E-06
   899   0.162857E+04   0.292455E+02   0.000000E+00   0.702666E+02   0.892624E-08   0.656755E-05   0.553495E-06
   900   0.161574E+04   0.295577E+02   0.000000E+00   0.700170E+02   0.891077E-08   0.651010E-05   0.559285E-06
   901   0.160296E+04   0.298681E+02   0.000000E+00   0.697341E+02   0.889533E-08   0.645272E-05   0.564975E-06
   902   0.159025E+04   0.301767E+02   0.000000E+00   0.694179E+02   0.887993E-08   0.639541E-05   0.570566E-06
   903   0.157760E+04   0.304834E+02   0.000000E+00   0.690687E+02   0.886457E-08   0.633817E-05   0.576058E-06
   904   0.156502E+04   0.307881E+02   0.000000E+00   0.686865E+02   0.884925E-08   0.628102E-05   0.581452E-06
   905   0.155252E+04   0.310907E+02   0.000000E+00   0.682716E+02   0.883396E-08   0.622395E-05   0.586747E-06
   906   0.154008E+04   0.313912E+02   0.000000E+00   0.678241E+02   0.881872E-08   0.616697E-05   0.591945E-06
   907   0.152773E+04   0.316893E+02   0.000000E+00   0.673441E+02   0.880352E-08   0.611009E-05   0.597045E-06
   908   0.151546E+04   0.319851E+02   0.000000E+00   0.668319E+02   0.878835E-08   0.605329E-05   0.602048E-06
   909   0.150327E+04   0.322784E+02   0.000000E+00   0.662879E+02   0.877322E-08   0.599660E-05   0.606955E-06
   910   0.149116E+04   0.325692E+02   0.000000E+00   0.657123E+02   0.875813E-08   0.594000E-05   0.611765E-06
   911   0.147914E+04   0.328574E+02   0.000000E+00   0.651055E+02   0.874308E-08   0.588352E-05   0.616479E-06
   912   0.146722E+04   0.331428E+02   0.000000E+00   0.644679E+02   0.872807E-08   0.582714E-05   0.621098E-06
   913   0.145539E+04   0.334254E+02   0.000000E+00   0.637997E+02   0.871310E-08   0.577087E-05   0.625622E-06
   914   0.144365E+04   0.337051E+02   0.000000E+00   0.631013E+02   0.869816E-08   0.571473E-05   0.630050E-06
   915   0.143201E+04   0.339818E+02   0.000000E+00   0.623730E+02   0.868326E-08   0.565870E-05   0.634384E-06
   916   0.142047E+04   0.342554E+02   0.000000E+00   0.616152E+02   0.866840E-08   0.560280E-05   0.638624E-06
   917   0.140904E+04   0.345257E+02   0.000000E+00   0.608282E+02   0.865357E-08   0.554702E-05   0.642771E-06
   918   0.139770E+04   0.347928E+02   0.000000E+00   0.600126E+02   0.863879E-08   0.549137E-05   0.646824E-06
   919   0.138647E+04   0.350563E+02   0.000000E+00   0.591686E+02   0.862404E-08   0.543586E-05   0.650783E-06
   920   0.137535E+04   0.353164E+02   0.000000E+00   0.582966E+02   0.860933E-08   0.538049E-05   0.654650E-06
   921   0.136433E+04   0.355727E+02   0.000000E+00   0.573971E+02   0.859465E-08   0.532526E-05   0.658425E-06
   922   0.135343E+04   0.358253E+02   0.000000E+00   0.564706E+02   0.858001E-08   0.527018E-05   0.662108E-06
   923   0.134266E+04   0.360740E+02   0.000000E+00   0.555177E+02   0.856541E-08   0.521524E-05   0.665699E-06
   924   0.133199E+04   0.363189E+02   0.000000E+00   0.545389E+02   0.855085E-08   0.516046E-05   0.669200E-06
   925   0.132145E+04   0.365596E+02   0.000000E+00   0.535349E+02   0.853632E-08   0.510584E-05   0.672609E-06
   926   0.131103E+04   0.367963E+02   0.000000E+00   0.525064E+02   0.852183E-08   0.505137E-05   0.675927E-06
   927   0.130073E+04   0.370287E+02   0.000000E+00   0.514537E+02   0.850737E-08   0.499707E-05   0.679156E-06
   928   0.129057E+04   0.372569E+02   0.000000E+00   0.503776E+02   0.849296E-08   0.494294E-05   0.682295E-06
   929   0.128054E+04   0.374806E+02   0.000000E+00   0.492787E+02   0.847857E-08   0.488897E-05   0.685344E-06
   930   0.127064E+04   0.376998E+02   0.000000E+00   0.481573E+02   0.846423E-08   0.483519E-05   0.688305E-06
   931   0.126087E+04   0.379143E+02   0.000000E+00   0.470141E+02   0.844992E-08   0.478158E-05   0.691177E-06
   932   0.125125E+04   0.381242E+02   0.000000E+00   0.458495E+02   0.843564E-08   0.472815E-05   0.693960E-06
   933   0.124176E+04   0.383293E+02   0.000000E+00   0.446642E+02   0.842140E-08   0.467490E-05   0.696656E-06
   934   0.123242E+04   0.385294E+02   0.000000E+00   0.434585E+02   0.840720E-08   0.462185E-05   0.699263E-06
   935   0.122321E+04   0.387245E+02   0.000000E+00   0.422332E+02   0.839303E-08   0.456899E-05   0.701784E-06
   936   0.121415E+04   0.389144E+02   0.000000E+00   0.409887E+02   0.837890E-08   0.451633E-05   0.704218E-06
   937   0.120524E+04   0.390992E+02   0.000000E+00   0.397258E+02   0.836480E-08   0.446386E-05   0.706565E-06
   938   0.119647E+04   0.392787E+02   0.000000E+00   0.384451E+02   0.835074E-08   0.441160E-05   0.708827E-06
   939   0.118785E+04   0.394528E+02   0.000000E+00   0.371471E+02   0.833671E-08   0.435955E-05   0.711002E-06
   940   0.117938E+04   0.396213E+02   0.000000E+00   0.358327E+02   0.832272E-08   0.430770E-05   0.713092E-06
   941   0.117107E+04   0.397843E+02   0.000000E+00   0.345022E+02   0.830876E-08   0.425608E-05   0.715097E-06
   942   0.116290E+04   0.399417E+02   0.000000E+00   0.331565E+02   0.829484E-08   0.420467E-05   0.717018E-06
   943   0.115490E+04   0.400933E+02   0.000000E+00   0.317962E+02   0.828095E-08   0.415348E-05   0.718854E-06
   944   0.114705E+04   0.402391E+02   0.000000E+00   0.304221E+02   0.826709E-08   0.410251E-05   0.720606E-06
   945   0.113936E+04   0.403791E+02   0.000000E+00   0.290349E+02   0.825328E-08   0.405178E-05   0.722275E-06
   946   0.113182E+04   0.405131E+02   0.000000E+00   0.276353E+02   0.823949E-08   0.400128E-05   0.723860E-06
   947   0.112446E+04   0.406410E+02   0.000000E+00   0.262241E+02   0.822574E-08   0.395101E-05   0.725363E-06
   948   0.111725E+04   0.407629E+02   0.000000E+00   0.248020E+02   0.821202E-08   0.390099E-05   0.726783E-06
   949   0.111020E+04   0.408787E+02   0.000000E+00   0.233696E+02   0.819834E-08   0.385120E-05   0.728121E-06
   950   0.110333E+04   0.409883E+02   0.000000E+00   0.219279E+02   0.818469E-08   0.380167E-05   0.729377E-06
   951   0.109662E+04   0.410915E+02   0.000000E+00   0.204774E+02   0.817107E-08   0.375238E-05   0.730552E-06
   952   0.109007E+04   0.411884E+02   0.000000E+00   0.190187E+02   0.815749E-08   0.370335E-05   0.731645E-06
   953   0.108369E+04   0.412789E+02   0.000000E+00   0.175522E+02   0.814394E-08   0.365457E-05   0.732658E-06
