#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.152456E+04   0.170183E+00   0.000000E+00  -0.646116E+00   0.136712E-06   0.753267E-03  -0.315435E-06
    56   0.154562E+04   0.179935E+00   0.000000E+00  -0.912933E+00   0.136154E-06   0.739636E-03  -0.263288E-06
    57   0.156700E+04   0.189986E+00   0.000000E+00  -0.119461E+01   0.135584E-06   0.726341E-03  -0.285104E-06
    58   0.158868E+04   0.200337E+00   0.000000E+00  -0.149118E+01   0.135002E-06   0.713342E-03  -0.363196E-06
    59   0.161056E+04   0.210991E+00   0.000000E+00  -0.180239E+01   0.134409E-06   0.700596E-03  -0.479914E-06
    60   0.163261E+04   0.221945E+00   0.000000E+00  -0.212755E+01   0.133805E-06   0.688059E-03  -0.617639E-06
    61   0.165485E+04   0.233195E+00   0.000000E+00  -0.246605E+01   0.133191E-06   0.675709E-03  -0.759605E-06
    62   0.167728E+04   0.244735E+00   0.000000E+00  -0.281790E+01   0.132569E-06   0.663589E-03  -0.892339E-06
    63   0.169992E+04   0.256564E+00   0.000000E+00  -0.318327E+01   0.131939E-06   0.651764E-03  -0.100320E-05
    64   0.172278E+04   0.268675E+00   0.000000E+00  -0.356231E+01   0.131301E-06   0.640296E-03  -0.107958E-05
    65   0.174588E+04   0.281068E+00   0.000000E+00  -0.395526E+01   0.130659E-06   0.629249E-03  -0.110887E-05
    66   0.176926E+04   0.293733E+00   0.000000E+00  -0.436234E+01   0.130011E-06   0.618665E-03  -0.108320E-05
    67   0.179290E+04   0.306662E+00   0.000000E+00  -0.478304E+01   0.129360E-06   0.608519E-03  -0.101363E-05
    68   0.181678E+04   0.319844E+00   0.000000E+00  -0.521661E+01   0.128704E-06   0.598762E-03  -0.915922E-06
    69   0.184084E+04   0.333269E+00   0.000000E+00  -0.566237E+01   0.128046E-06   0.589349E-03  -0.805799E-06
    70   0.186505E+04   0.346929E+00   0.000000E+00  -0.611980E+01   0.127385E-06   0.580234E-03  -0.698978E-06
    71   0.188940E+04   0.360819E+00   0.000000E+00  -0.658870E+01   0.126721E-06   0.571374E-03  -0.608767E-06
    72   0.191399E+04   0.374933E+00   0.000000E+00  -0.706990E+01   0.126056E-06   0.562745E-03  -0.538922E-06
    73   0.193894E+04   0.389265E+00   0.000000E+00  -0.756426E+01   0.125388E-06   0.554327E-03  -0.490807E-06
    74   0.196424E+04   0.403803E+00   0.000000E+00  -0.807156E+01   0.124718E-06   0.546100E-03  -0.465790E-06
    75   0.198989E+04   0.418534E+00   0.000000E+00  -0.859128E+01   0.124047E-06   0.538043E-03  -0.465235E-06
    76   0.201585E+04   0.433443E+00   0.000000E+00  -0.912282E+01   0.123373E-06   0.530140E-03  -0.489556E-06
    77   0.204199E+04   0.448521E+00   0.000000E+00  -0.966483E+01   0.122698E-06   0.522382E-03  -0.535364E-06
    78   0.206831E+04   0.463756E+00   0.000000E+00  -0.102170E+02   0.122021E-06   0.514762E-03  -0.598318E-06
    79   0.209486E+04   0.479137E+00   0.000000E+00  -0.107794E+02   0.121344E-06   0.507276E-03  -0.674089E-06
    80   0.212168E+04   0.494655E+00   0.000000E+00  -0.113521E+02   0.120667E-06   0.499918E-03  -0.758346E-06
    81   0.214878E+04   0.510297E+00   0.000000E+00  -0.119350E+02   0.119989E-06   0.492683E-03  -0.846763E-06
