#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.184779E-03   0.174529E+08   0.174527E+08   0.195772E+08   0.194999E+08   0.174436E+08   0.174528E+08   0.174528E+08   0.174572E+08  -0.465845E+00   0.888333E+07   0.888329E+07   0.737591E+02
   0.204179E-03   0.174514E+08   0.174513E+08   0.188361E+08   0.187445E+08   0.174396E+08   0.174513E+08   0.174514E+08   0.174556E+08  -0.465798E+00   0.888257E+07   0.888252E+07   0.806116E+02
   0.225615E-03   0.174496E+08   0.174495E+08   0.179665E+08   0.178586E+08   0.174348E+08   0.174496E+08   0.174496E+08   0.174536E+08  -0.465740E+00   0.888165E+07   0.888160E+07   0.878920E+02
   0.249303E-03   0.174475E+08   0.174473E+08   0.169553E+08   0.168293E+08   0.174290E+08   0.174474E+08   0.174475E+08   0.174512E+08  -0.465670E+00   0.888054E+07   0.888047E+07   0.955552E+02
   0.275477E-03   0.174449E+08   0.174446E+08   0.157926E+08   0.156470E+08   0.174218E+08   0.174448E+08   0.174449E+08   0.174483E+08  -0.465586E+00   0.887918E+07   0.887910E+07   0.103528E+03
   0.304399E-03   0.174417E+08   0.174414E+08   0.144741E+08   0.143078E+08   0.174132E+08   0.174416E+08   0.174417E+08   0.174448E+08  -0.465485E+00   0.887754E+07   0.887744E+07   0.111699E+03
   0.336358E-03   0.174379E+08   0.174376E+08   0.130045E+08   0.128177E+08   0.174027E+08   0.174377E+08   0.174379E+08   0.174407E+08  -0.465364E+00   0.887556E+07   0.887544E+07   0.119915E+03
   0.371671E-03   0.174333E+08   0.174329E+08   0.114017E+08   0.111958E+08   0.173899E+08   0.174331E+08   0.174333E+08   0.174357E+08  -0.465219E+00   0.887316E+07   0.887302E+07   0.127972E+03
   0.410693E-03   0.174278E+08   0.174273E+08   0.970058E+07   0.947907E+07   0.173745E+08   0.174275E+08   0.174277E+08   0.174297E+08  -0.465047E+00   0.887028E+07   0.887011E+07   0.135609E+03
   0.453811E-03   0.174211E+08   0.174205E+08   0.795655E+07   0.772546E+07   0.173558E+08   0.174208E+08   0.174210E+08   0.174226E+08  -0.464844E+00   0.886682E+07   0.886662E+07   0.142511E+03
   0.501457E-03   0.174132E+08   0.174125E+08   0.624614E+07   0.601424E+07   0.173332E+08   0.174127E+08   0.174131E+08   0.174141E+08  -0.464603E+00   0.886266E+07   0.886244E+07   0.148320E+03
   0.554104E-03   0.174037E+08   0.174028E+08   0.466267E+07   0.444138E+07   0.173059E+08   0.174031E+08   0.174035E+08   0.174042E+08  -0.464322E+00   0.885771E+07   0.885746E+07   0.152650E+03
   0.612279E-03   0.173923E+08   0.173914E+08   0.330432E+07   0.310662E+07   0.172731E+08   0.173917E+08   0.173922E+08   0.173924E+08  -0.463992E+00   0.885182E+07   0.885153E+07   0.155130E+03
   0.676562E-03   0.173789E+08   0.173778E+08   0.225289E+07   0.209136E+07   0.172338E+08   0.173782E+08   0.173787E+08   0.173787E+08  -0.463609E+00   0.884484E+07   0.884452E+07   0.155445E+03
   0.747594E-03   0.173631E+08   0.173619E+08   0.154593E+07   0.142971E+07   0.171867E+08   0.173622E+08   0.173629E+08   0.173625E+08  -0.463163E+00   0.883661E+07   0.883626E+07   0.153400E+03
