#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.251031E+00   0.714970E+06   0.711754E+06  -0.324873E+00  -0.330174E+00   0.145408E+05   0.711638E+06   0.714463E+06   0.711638E+06  -0.189813E-01   0.362708E+06   0.362674E+06   0.449217E-01
   0.256057E+00   0.695197E+06   0.692051E+06  -0.303610E+00  -0.308564E+00   0.136826E+05   0.691952E+06   0.694702E+06   0.691952E+06  -0.184563E-01   0.352675E+06   0.352642E+06   0.432101E-01
   0.261084E+00   0.674959E+06   0.671824E+06  -0.283528E+00  -0.288154E+00   0.128626E+05   0.671795E+06   0.674465E+06   0.671795E+06  -0.179186E-01   0.342402E+06   0.342369E+06   0.421658E-01
   0.266110E+00   0.654745E+06   0.651591E+06  -0.264741E+00  -0.269060E+00   0.120874E+05   0.651656E+06   0.654248E+06   0.651656E+06  -0.173814E-01   0.332138E+06   0.332105E+06   0.414318E-01
   0.271137E+00   0.635125E+06   0.631952E+06  -0.247370E+00  -0.251406E+00   0.113644E+05   0.632109E+06   0.634626E+06   0.632109E+06  -0.168601E-01   0.322176E+06   0.322143E+06   0.406747E-01
   0.276164E+00   0.616637E+06   0.613467E+06  -0.231503E+00  -0.235280E+00   0.106993E+05   0.613694E+06   0.616138E+06   0.613694E+06  -0.163689E-01   0.312790E+06   0.312758E+06   0.396560E-01
   0.281190E+00   0.599660E+06   0.596531E+06  -0.217152E+00  -0.220695E+00   0.100944E+05   0.596789E+06   0.599167E+06   0.596789E+06  -0.159180E-01   0.304175E+06   0.304143E+06   0.382667E-01
   0.286217E+00   0.584313E+06   0.581265E+06  -0.204229E+00  -0.207561E+00   0.954716E+04   0.581514E+06   0.583833E+06   0.581514E+06  -0.155106E-01   0.296390E+06   0.296358E+06   0.365261E-01
   0.291243E+00   0.570434E+06   0.567500E+06  -0.192558E+00  -0.195700E+00   0.905074E+04   0.567708E+06   0.569972E+06   0.567708E+06  -0.151423E-01   0.289353E+06   0.289323E+06   0.345522E-01
   0.296270E+00   0.557682E+06   0.554880E+06  -0.181924E+00  -0.184892E+00   0.859614E+04   0.555026E+06   0.557241E+06   0.555026E+06  -0.148041E-01   0.282890E+06   0.282861E+06   0.325149E-01
   0.301296E+00   0.545657E+06   0.542985E+06  -0.172115E+00  -0.174923E+00   0.817441E+04   0.543068E+06   0.545236E+06   0.543068E+06  -0.144851E-01   0.276795E+06   0.276767E+06   0.305867E-01
   0.306323E+00   0.533983E+06   0.531428E+06  -0.162954E+00  -0.165613E+00   0.777781E+04   0.531458E+06   0.533580E+06   0.531458E+06  -0.141754E-01   0.270877E+06   0.270851E+06   0.289009E-01
   0.311349E+00   0.522360E+06   0.519896E+06  -0.154304E+00  -0.156821E+00   0.740050E+04   0.519895E+06   0.521972E+06   0.519895E+06  -0.138670E-01   0.264984E+06   0.264958E+06   0.275262E-01
   0.316376E+00   0.510614E+06   0.508213E+06  -0.146081E+00  -0.148464E+00   0.703894E+04   0.508205E+06   0.510236E+06   0.508205E+06  -0.135552E-01   0.259026E+06   0.259001E+06   0.264620E-01
   0.321403E+00   0.498735E+06   0.496371E+06  -0.138254E+00  -0.140510E+00   0.669212E+04   0.496378E+06   0.498362E+06   0.496378E+06  -0.132398E-01   0.252998E+06   0.252973E+06   0.256508E-01
   0.326429E+00   0.486863E+06   0.484519E+06  -0.130838E+00  -0.132972E+00   0.636114E+04   0.484556E+06   0.486494E+06   0.484556E+06  -0.129244E-01   0.246973E+06   0.246948E+06   0.250005E-01
   0.331456E+00   0.475219E+06   0.472889E+06  -0.123864E+00  -0.125884E+00   0.604794E+04   0.472959E+06   0.474852E+06   0.472959E+06  -0.126151E-01   0.241063E+06   0.241038E+06   0.244113E-01
   0.336482E+00   0.464012E+06   0.461700E+06  -0.117356E+00  -0.119270E+00   0.575409E+04   0.461800E+06   0.463648E+06   0.461800E+06  -0.123175E-01   0.235375E+06   0.235351E+06   0.237980E-01
   0.341509E+00   0.453390E+06   0.451105E+06  -0.111318E+00  -0.113134E+00   0.548024E+04   0.451223E+06   0.453030E+06   0.451223E+06  -0.120354E-01   0.229984E+06   0.229961E+06   0.231067E-01
   0.346535E+00   0.443421E+06   0.441177E+06  -0.105735E+00  -0.107460E+00   0.522596E+04   0.441300E+06   0.443067E+06   0.441300E+06  -0.117707E-01   0.224927E+06   0.224904E+06   0.223205E-01
   0.351562E+00   0.434105E+06   0.431916E+06  -0.100575E+00  -0.102216E+00   0.499007E+04   0.432030E+06   0.433760E+06   0.432030E+06  -0.115234E-01   0.220202E+06   0.220179E+06   0.214566E-01
   0.356588E+00   0.425377E+06   0.423250E+06  -0.957952E-01  -0.973580E-01   0.477072E+04   0.423345E+06   0.425042E+06   0.423345E+06  -0.112918E-01   0.215776E+06   0.215754E+06   0.205556E-01
   0.361615E+00   0.417109E+06   0.415048E+06  -0.913411E-01  -0.928312E-01   0.456549E+04   0.415120E+06   0.416784E+06   0.415120E+06  -0.110724E-01   0.211583E+06   0.211562E+06   0.196673E-01
   0.366641E+00   0.409145E+06   0.407148E+06  -0.871583E-01  -0.885801E-01   0.437191E+04   0.407198E+06   0.408830E+06   0.407198E+06  -0.108611E-01   0.207545E+06   0.207525E+06   0.188368E-01
   0.371668E+00   0.401343E+06   0.399402E+06  -0.832002E-01  -0.845575E-01   0.418782E+04   0.399435E+06   0.401037E+06   0.399435E+06  -0.106540E-01   0.203589E+06   0.203569E+06   0.180954E-01
   0.376695E+00   0.393614E+06   0.391719E+06  -0.794352E-01  -0.807311E-01   0.401181E+04   0.391744E+06   0.393315E+06   0.391744E+06  -0.104489E-01   0.199669E+06   0.199649E+06   0.174552E-01
   0.381721E+00   0.385928E+06   0.384069E+06  -0.758468E-01  -0.770841E-01   0.384318E+04   0.384094E+06   0.385635E+06   0.384094E+06  -0.102448E-01   0.195770E+06   0.195751E+06   0.169099E-01
   0.386748E+00   0.378309E+06   0.376477E+06  -0.724292E-01  -0.736108E-01   0.368179E+04   0.376509E+06   0.378020E+06   0.376509E+06  -0.100425E-01   0.191904E+06   0.191885E+06   0.164387E-01
   0.391774E+00   0.370806E+06   0.368998E+06  -0.691827E-01  -0.703113E-01   0.352776E+04   0.369040E+06   0.370521E+06   0.369040E+06  -0.984331E-02   0.188097E+06   0.188078E+06   0.160134E-01
   0.396801E+00   0.363484E+06   0.361697E+06  -0.661092E-01  -0.671876E-01   0.338133E+04   0.361750E+06   0.363203E+06   0.361750E+06  -0.964887E-02   0.184382E+06   0.184363E+06   0.156054E-01
   0.401827E+00   0.356403E+06   0.354639E+06  -0.632096E-01  -0.642408E-01   0.324266E+04   0.354701E+06   0.356126E+06   0.354701E+06  -0.946085E-02   0.180789E+06   0.180771E+06   0.151925E-01
   0.406854E+00   0.349612E+06   0.347874E+06  -0.604824E-01  -0.614691E-01   0.311178E+04   0.347940E+06   0.349338E+06   0.347940E+06  -0.928053E-02   0.177343E+06   0.177325E+06   0.147624E-01
   0.411880E+00   0.343133E+06   0.341426E+06  -0.579217E-01  -0.588666E-01   0.298851E+04   0.341492E+06   0.342864E+06   0.341492E+06  -0.910854E-02   0.174057E+06   0.174039E+06   0.143132E-01
   0.416907E+00   0.336958E+06   0.335285E+06  -0.555162E-01  -0.564218E-01   0.287234E+04   0.335347E+06   0.336694E+06   0.335347E+06  -0.894462E-02   0.170924E+06   0.170907E+06   0.138519E-01
   0.421934E+00   0.331043E+06   0.329407E+06  -0.532502E-01  -0.541189E-01   0.276257E+04   0.329461E+06   0.330785E+06   0.329461E+06  -0.878763E-02   0.167925E+06   0.167908E+06   0.133908E-01
   0.426960E+00   0.325332E+06   0.323733E+06  -0.511070E-01  -0.519407E-01   0.265841E+04   0.323779E+06   0.325080E+06   0.323779E+06  -0.863606E-02   0.165028E+06   0.165012E+06   0.129437E-01
   0.431987E+00   0.319776E+06   0.318212E+06  -0.490722E-01  -0.498727E-01   0.255917E+04   0.318250E+06   0.319529E+06   0.318250E+06  -0.848860E-02   0.162211E+06   0.162194E+06   0.125227E-01
   0.437013E+00   0.314339E+06   0.312807E+06  -0.471347E-01  -0.479036E-01   0.246436E+04   0.312839E+06   0.314097E+06   0.312839E+06  -0.834429E-02   0.159453E+06   0.159437E+06   0.121351E-01
   0.442040E+00   0.308995E+06   0.307492E+06  -0.452859E-01  -0.460246E-01   0.237355E+04   0.307521E+06   0.308758E+06   0.307521E+06  -0.820244E-02   0.156742E+06   0.156727E+06   0.117829E-01
   0.447066E+00   0.303729E+06   0.302250E+06  -0.435188E-01  -0.442288E-01   0.228645E+04   0.302280E+06   0.303496E+06   0.302280E+06  -0.806265E-02   0.154071E+06   0.154056E+06   0.114627E-01
   0.452093E+00   0.298543E+06   0.297086E+06  -0.418299E-01  -0.425123E-01   0.220292E+04   0.297118E+06   0.298314E+06   0.297118E+06  -0.792496E-02   0.151440E+06   0.151425E+06   0.111673E-01
   0.457119E+00   0.293457E+06   0.292019E+06  -0.402179E-01  -0.408740E-01   0.212293E+04   0.292055E+06   0.293230E+06   0.292055E+06  -0.778991E-02   0.148859E+06   0.148844E+06   0.108883E-01
   0.462146E+00   0.288497E+06   0.287079E+06  -0.386827E-01  -0.393137E-01   0.204652E+04   0.287118E+06   0.288273E+06   0.287118E+06  -0.765822E-02   0.146343E+06   0.146328E+06   0.106178E-01
   0.467172E+00   0.283685E+06   0.282287E+06  -0.372234E-01  -0.378306E-01   0.197369E+04   0.282328E+06   0.283464E+06   0.282328E+06  -0.753047E-02   0.143902E+06   0.143887E+06   0.103498E-01
   0.472199E+00   0.279029E+06   0.277653E+06  -0.358373E-01  -0.364219E-01   0.190432E+04   0.277695E+06   0.278813E+06   0.277695E+06  -0.740688E-02   0.141540E+06   0.141526E+06   0.100812E-01
   0.477226E+00   0.274529E+06   0.273174E+06  -0.345205E-01  -0.350836E-01   0.183825E+04   0.273216E+06   0.274316E+06   0.273216E+06  -0.728741E-02   0.139257E+06   0.139243E+06   0.981180E-02
   0.482252E+00   0.270175E+06   0.268843E+06  -0.332685E-01  -0.338112E-01   0.177527E+04   0.268882E+06   0.269965E+06   0.268882E+06  -0.717183E-02   0.137049E+06   0.137035E+06   0.954375E-02
   0.487279E+00   0.265954E+06   0.264646E+06  -0.320767E-01  -0.326000E-01   0.171516E+04   0.264682E+06   0.265748E+06   0.264682E+06  -0.705980E-02   0.134908E+06   0.134894E+06   0.928071E-02
   0.492305E+00   0.261852E+06   0.260567E+06  -0.309405E-01  -0.314452E-01   0.165771E+04   0.260600E+06   0.261650E+06   0.260600E+06  -0.695093E-02   0.132827E+06   0.132814E+06   0.902654E-02
   0.497332E+00   0.257851E+06   0.256588E+06  -0.298550E-01  -0.303420E-01   0.160269E+04   0.256618E+06   0.257652E+06   0.256618E+06  -0.684472E-02   0.130798E+06   0.130785E+06   0.878429E-02
   0.502358E+00   0.253932E+06   0.252690E+06  -0.288159E-01  -0.292860E-01   0.154987E+04   0.252718E+06   0.253736E+06   0.252718E+06  -0.674069E-02   0.128810E+06   0.128797E+06   0.855560E-02
   0.507385E+00   0.250084E+06   0.248861E+06  -0.278197E-01  -0.282735E-01   0.149911E+04   0.248888E+06   0.249891E+06   0.248888E+06  -0.663854E-02   0.126858E+06   0.126845E+06   0.834051E-02
   0.512411E+00   0.246304E+06   0.245099E+06  -0.268644E-01  -0.273026E-01   0.145030E+04   0.245126E+06   0.246114E+06   0.245126E+06  -0.653819E-02   0.124940E+06   0.124928E+06   0.813776E-02
   0.517438E+00   0.242597E+06   0.241409E+06  -0.259485E-01  -0.263718E-01   0.140338E+04   0.241437E+06   0.242410E+06   0.241437E+06  -0.643979E-02   0.123060E+06   0.123048E+06   0.794517E-02
   0.522465E+00   0.238970E+06   0.237798E+06  -0.250711E-01  -0.254801E-01   0.135833E+04   0.237827E+06   0.238785E+06   0.237827E+06  -0.634350E-02   0.121220E+06   0.121208E+06   0.776022E-02
   0.527491E+00   0.235427E+06   0.234271E+06  -0.242309E-01  -0.246262E-01   0.131509E+04   0.234300E+06   0.235245E+06   0.234300E+06  -0.624943E-02   0.119422E+06   0.119410E+06   0.758051E-02
   0.532518E+00   0.231969E+06   0.230829E+06  -0.234265E-01  -0.238086E-01   0.127360E+04   0.230859E+06   0.231790E+06   0.230859E+06  -0.615765E-02   0.117669E+06   0.117657E+06   0.740430E-02
   0.537544E+00   0.228600E+06   0.227476E+06  -0.226565E-01  -0.230260E-01   0.123380E+04   0.227505E+06   0.228423E+06   0.227505E+06  -0.606820E-02   0.115959E+06   0.115948E+06   0.723070E-02
   0.542571E+00   0.225319E+06   0.224212E+06  -0.219195E-01  -0.222771E-01   0.119563E+04   0.224241E+06   0.225145E+06   0.224241E+06  -0.598112E-02   0.114295E+06   0.114284E+06   0.705972E-02
   0.547597E+00   0.222126E+06   0.221034E+06  -0.212140E-01  -0.215601E-01   0.115901E+04   0.221063E+06   0.221954E+06   0.221063E+06  -0.589635E-02   0.112675E+06   0.112664E+06   0.689200E-02
   0.552624E+00   0.219013E+06   0.217937E+06  -0.205379E-01  -0.208730E-01   0.112385E+04   0.217964E+06   0.218843E+06   0.217964E+06  -0.581371E-02   0.111096E+06   0.111085E+06   0.672846E-02
   0.557650E+00   0.215970E+06   0.214911E+06  -0.198892E-01  -0.202137E-01   0.109004E+04   0.214937E+06   0.215803E+06   0.214937E+06  -0.573295E-02   0.109553E+06   0.109542E+06   0.657004E-02
   0.562677E+00   0.212991E+06   0.211947E+06  -0.192660E-01  -0.195803E-01   0.105749E+04   0.211972E+06   0.212827E+06   0.211972E+06  -0.565388E-02   0.108042E+06   0.108031E+06   0.641745E-02
   0.567703E+00   0.210072E+06   0.209042E+06  -0.186669E-01  -0.189714E-01   0.102614E+04   0.209066E+06   0.209909E+06   0.209066E+06  -0.557637E-02   0.106561E+06   0.106550E+06   0.627108E-02
   0.572730E+00   0.207210E+06   0.206195E+06  -0.180909E-01  -0.183860E-01   0.995932E+03   0.206218E+06   0.207050E+06   0.206218E+06  -0.550040E-02   0.105109E+06   0.105099E+06   0.613086E-02
   0.577757E+00   0.204403E+06   0.203402E+06  -0.175367E-01  -0.178228E-01   0.966820E+03   0.203425E+06   0.204246E+06   0.203425E+06  -0.542591E-02   0.103686E+06   0.103675E+06   0.599631E-02
   0.582783E+00   0.201651E+06   0.200663E+06  -0.170035E-01  -0.172808E-01   0.938748E+03   0.200686E+06   0.201496E+06   0.200686E+06  -0.535285E-02   0.102290E+06   0.102279E+06   0.586671E-02
   0.587810E+00   0.198952E+06   0.197977E+06  -0.164902E-01  -0.167592E-01   0.911679E+03   0.198000E+06   0.198799E+06   0.198000E+06  -0.528121E-02   0.100920E+06   0.100910E+06   0.574121E-02
   0.592836E+00   0.196309E+06   0.195346E+06  -0.159964E-01  -0.162573E-01   0.885587E+03   0.195369E+06   0.196157E+06   0.195369E+06  -0.521103E-02   0.995795E+05   0.995695E+05   0.561912E-02
   0.597863E+00   0.193723E+06   0.192773E+06  -0.155214E-01  -0.157746E-01   0.860442E+03   0.192796E+06   0.193573E+06   0.192796E+06  -0.514239E-02   0.982678E+05   0.982580E+05   0.549994E-02
   0.602889E+00   0.191196E+06   0.190257E+06  -0.150645E-01  -0.153102E-01   0.836218E+03   0.190280E+06   0.191048E+06   0.190280E+06  -0.507529E-02   0.969857E+05   0.969759E+05   0.538338E-02
   0.607916E+00   0.188724E+06   0.187798E+06  -0.146249E-01  -0.148635E-01   0.812871E+03   0.187820E+06   0.188578E+06   0.187820E+06  -0.500969E-02   0.957320E+05   0.957224E+05   0.526936E-02
   0.612942E+00   0.186305E+06   0.185391E+06  -0.142016E-01  -0.144333E-01   0.790351E+03   0.185413E+06   0.186161E+06   0.185413E+06  -0.494548E-02   0.945050E+05   0.944955E+05   0.515799E-02
   0.662979E+00   0.164662E+06   0.163854E+06  -0.107287E-01  -0.109037E-01   0.604041E+03   0.163873E+06   0.164534E+06   0.163873E+06  -0.437093E-02   0.835259E+05   0.835175E+05   0.421246E-02
   0.717100E+00   0.145410E+06   0.144698E+06  -0.809832E-02  -0.823042E-02   0.460815E+03   0.144713E+06   0.145298E+06   0.144713E+06  -0.385990E-02   0.737606E+05   0.737532E+05   0.343742E-02
   0.775640E+00   0.128304E+06   0.127675E+06  -0.610777E-02  -0.620740E-02   0.350939E+03   0.127689E+06   0.128205E+06   0.127689E+06  -0.340581E-02   0.650832E+05   0.650767E+05   0.280337E-02
   0.838958E+00   0.113122E+06   0.112568E+06  -0.460292E-02  -0.467800E-02   0.266826E+03   0.112580E+06   0.113035E+06   0.112580E+06  -0.300281E-02   0.573822E+05   0.573764E+05   0.228458E-02
   0.907445E+00   0.996661E+05   0.991777E+05  -0.346636E-02  -0.352290E-02   0.202566E+03   0.991880E+05   0.995892E+05   0.991880E+05  -0.264562E-02   0.505564E+05   0.505513E+05   0.186042E-02
   0.981523E+00   0.877476E+05   0.873176E+05  -0.260857E-02  -0.265112E-02   0.153557E+03   0.873265E+05   0.876798E+05   0.873265E+05  -0.232924E-02   0.445106E+05   0.445061E+05   0.151392E-02
   0.106165E+01   0.772012E+05   0.768230E+05  -0.196171E-02  -0.199370E-02   0.116244E+03   0.768307E+05   0.771416E+05   0.768307E+05  -0.204929E-02   0.391608E+05   0.391569E+05   0.123108E-02
   0.114831E+01   0.678788E+05   0.675463E+05  -0.147430E-02  -0.149834E-02   0.878843E+02   0.675530E+05   0.678264E+05   0.675530E+05  -0.180182E-02   0.344320E+05   0.344285E+05   0.100042E-02
   0.124205E+01   0.596436E+05   0.593514E+05  -0.110727E-02  -0.112534E-02   0.663609E+02   0.593572E+05   0.595975E+05   0.593572E+05  -0.158322E-02   0.302546E+05   0.302516E+05   0.812435E-03
   0.134345E+01   0.523756E+05   0.521190E+05  -0.831116E-03  -0.844672E-03   0.500504E+02   0.521241E+05   0.523352E+05   0.521241E+05  -0.139029E-02   0.265679E+05   0.265652E+05   0.659351E-03
   0.145312E+01   0.459664E+05   0.457412E+05  -0.623467E-03  -0.633637E-03   0.377076E+02   0.457457E+05   0.459309E+05   0.457457E+05  -0.122016E-02   0.233167E+05   0.233144E+05   0.534780E-03
   0.157174E+01   0.403185E+05   0.401210E+05  -0.467432E-03  -0.475056E-03   0.283792E+02   0.401249E+05   0.402874E+05   0.401249E+05  -0.107024E-02   0.204518E+05   0.204498E+05   0.433477E-03
   0.170005E+01   0.353450E+05   0.351719E+05  -0.350253E-03  -0.355966E-03   0.213378E+02   0.351752E+05   0.353177E+05   0.351752E+05  -0.938220E-03   0.179290E+05   0.179272E+05   0.351151E-03
   0.183883E+01   0.309688E+05   0.308172E+05  -0.262313E-03  -0.266591E-03   0.160289E+02   0.308201E+05   0.309449E+05   0.308201E+05  -0.822056E-03   0.157091E+05   0.157076E+05   0.284293E-03
   0.186936E+01   0.301197E+05   0.299722E+05  -0.246855E-03  -0.250881E-03   0.150932E+02   0.299750E+05   0.300965E+05   0.299750E+05  -0.799516E-03   0.152784E+05   0.152769E+05   0.271944E-03
   0.233745E+01   0.206092E+05   0.205083E+05  -0.108032E-03  -0.109795E-03   0.664943E+01   0.205102E+05   0.205933E+05   0.205102E+05  -0.547064E-03   0.104542E+05   0.104531E+05   0.148495E-03
   0.292275E+01   0.140492E+05   0.139804E+05  -0.471026E-04  -0.478709E-04   0.291253E+01   0.139817E+05   0.140383E+05   0.139817E+05  -0.372930E-03   0.712652E+04   0.712581E+04   0.806959E-04
   0.365461E+01   0.954471E+04   0.949800E+04  -0.204672E-04  -0.208010E-04   0.126951E+01   0.949886E+04   0.953735E+04   0.949886E+04  -0.253361E-03   0.484161E+04   0.484114E+04   0.436284E-04
   0.456974E+01   0.646446E+04   0.643282E+04  -0.886602E-05  -0.901063E-05   0.551078E+00   0.643340E+04   0.645947E+04   0.643340E+04  -0.171596E-03   0.327913E+04   0.327881E+04   0.234507E-04
   0.571401E+01   0.436587E+04   0.434452E+04  -0.382973E-05  -0.389220E-05   0.238370E+00   0.434490E+04   0.436251E+04   0.434490E+04  -0.115890E-03   0.221462E+04   0.221440E+04   0.125147E-04
   0.714480E+01   0.294092E+04   0.292654E+04  -0.164999E-05  -0.167690E-05   0.102791E+00   0.292679E+04   0.293866E+04   0.292679E+04  -0.780656E-04   0.149180E+04   0.149166E+04   0.661484E-05
