#    L    TT             EE             TE             PP             TP          
    75   0.198989E+04   0.418534E+00  -0.859128E+01   0.563835E+07   0.903264E+04
    76   0.201585E+04   0.433443E+00  -0.912282E+01   0.560967E+07   0.890227E+04
    77   0.204199E+04   0.448521E+00  -0.966483E+01   0.558085E+07   0.877421E+04
    78   0.206831E+04   0.463756E+00  -0.102170E+02   0.555191E+07   0.864836E+04
    79   0.209486E+04   0.479137E+00  -0.107794E+02   0.552287E+07   0.852464E+04
    80   0.212168E+04   0.494655E+00  -0.113521E+02   0.549375E+07   0.840295E+04
    81   0.214878E+04   0.510297E+00  -0.119350E+02   0.546459E+07   0.828324E+04
    82   0.217618E+04   0.526052E+00  -0.125275E+02   0.543539E+07   0.816560E+04
    83   0.220385E+04   0.541906E+00  -0.131294E+02   0.540617E+07   0.805013E+04
    84   0.223178E+04   0.557845E+00  -0.137398E+02   0.537695E+07   0.793697E+04
    85   0.225995E+04   0.573856E+00  -0.143584E+02   0.534773E+07   0.782623E+04
    86   0.228836E+04   0.589926E+00  -0.149846E+02   0.531854E+07   0.771801E+04
    87   0.231697E+04   0.606042E+00  -0.156178E+02   0.528939E+07   0.761228E+04
    88   0.234578E+04   0.622189E+00  -0.162575E+02   0.526028E+07   0.750900E+04
    89   0.237478E+04   0.638355E+00  -0.169032E+02   0.523123E+07   0.740812E+04
    90   0.240399E+04   0.654522E+00  -0.175545E+02   0.520223E+07   0.730957E+04
    91   0.243342E+04   0.670674E+00  -0.182111E+02   0.517331E+07   0.721332E+04
    92   0.246307E+04   0.686797E+00  -0.188725E+02   0.514446E+07   0.711931E+04
    93   0.249296E+04   0.702876E+00  -0.195383E+02   0.511569E+07   0.702747E+04
    94   0.252307E+04   0.718896E+00  -0.202082E+02   0.508700E+07   0.693775E+04
    95   0.255341E+04   0.734842E+00  -0.208817E+02   0.505840E+07   0.685009E+04
    96   0.258400E+04   0.750699E+00  -0.215583E+02   0.502989E+07   0.676444E+04
    97   0.261481E+04   0.766451E+00  -0.222375E+02   0.500148E+07   0.668073E+04
    98   0.264586E+04   0.782082E+00  -0.229189E+02   0.497316E+07   0.659890E+04
    99   0.267712E+04   0.797578E+00  -0.236019E+02   0.494495E+07   0.651890E+04
   100   0.270861E+04   0.812926E+00  -0.242860E+02   0.491685E+07   0.644067E+04
   101   0.274032E+04   0.828110E+00  -0.249706E+02   0.488886E+07   0.636414E+04
   102   0.277225E+04   0.843107E+00  -0.256554E+02   0.486099E+07   0.628927E+04
   103   0.280438E+04   0.857917E+00  -0.263395E+02   0.483324E+07   0.621599E+04
   104   0.283671E+04   0.872510E+00  -0.270227E+02   0.480562E+07   0.614425E+04
   105   0.286924E+04   0.886877E+00  -0.277041E+02   0.477813E+07   0.607398E+04
   106   0.290196E+04   0.901003E+00  -0.283833E+02   0.475077E+07   0.600513E+04
   107   0.293485E+04   0.914880E+00  -0.290596E+02   0.472355E+07   0.593764E+04
   108   0.296790E+04   0.928485E+00  -0.297324E+02   0.469647E+07   0.587144E+04
   109   0.300113E+04   0.941810E+00  -0.304012E+02   0.466954E+07   0.580650E+04
   110   0.303450E+04   0.954831E+00  -0.310653E+02   0.464275E+07   0.574273E+04
   111   0.306802E+04   0.967542E+00  -0.317243E+02   0.461613E+07   0.568009E+04
   112   0.310168E+04   0.979933E+00  -0.323773E+02   0.458966E+07   0.561856E+04
   113   0.313548E+04   0.991983E+00  -0.330241E+02   0.456335E+07   0.555810E+04
   114   0.316941E+04   0.100368E+01  -0.336638E+02   0.453719E+07   0.549869E+04
   115   0.320346E+04   0.101501E+01  -0.342960E+02   0.451119E+07   0.544031E+04
   116   0.323762E+04   0.102597E+01  -0.349201E+02   0.448536E+07   0.538294E+04
   117   0.327189E+04   0.103654E+01  -0.355355E+02   0.445968E+07   0.532654E+04
   118   0.330626E+04   0.104671E+01  -0.361416E+02   0.443416E+07   0.527109E+04
   119   0.334073E+04   0.105647E+01  -0.367378E+02   0.440880E+07   0.521657E+04
   120   0.337528E+04   0.106582E+01  -0.373237E+02   0.438361E+07   0.516296E+04
