#    L    TT             EE             TE             PP             TP          
   555   0.230185E+04   0.102984E+02   0.174355E+02   0.855228E+06   0.852975E+02
   556   0.229646E+04   0.105019E+02   0.181574E+02   0.853005E+06   0.858491E+02
   557   0.229093E+04   0.107094E+02   0.188547E+02   0.850790E+06   0.864160E+02
   558   0.228525E+04   0.109209E+02   0.195270E+02   0.848584E+06   0.869978E+02
   559   0.227943E+04   0.111362E+02   0.201738E+02   0.846387E+06   0.875944E+02
   560   0.227347E+04   0.113554E+02   0.207948E+02   0.844198E+06   0.882055E+02
   561   0.226738E+04   0.115782E+02   0.213894E+02   0.842019E+06   0.888307E+02
   562   0.226115E+04   0.118048E+02   0.219576E+02   0.839848E+06   0.894699E+02
   563   0.225479E+04   0.120349E+02   0.224985E+02   0.837685E+06   0.901226E+02
   564   0.224831E+04   0.122686E+02   0.230120E+02   0.835531E+06   0.907886E+02
   565   0.224171E+04   0.125057E+02   0.234978E+02   0.833386E+06   0.914676E+02
   566   0.223498E+04   0.127462E+02   0.239555E+02   0.831249E+06   0.921594E+02
   567   0.222815E+04   0.129899E+02   0.243846E+02   0.829121E+06   0.928637E+02
   568   0.222120E+04   0.132368E+02   0.247850E+02   0.827001E+06   0.935801E+02
   569   0.221414E+04   0.134868E+02   0.251563E+02   0.824890E+06   0.943084E+02
   570   0.220698E+04   0.137398E+02   0.254982E+02   0.822787E+06   0.950483E+02
   571   0.219971E+04   0.139957E+02   0.258104E+02   0.820692E+06   0.957995E+02
   572   0.219236E+04   0.142544E+02   0.260928E+02   0.818606E+06   0.965617E+02
   573   0.218492E+04   0.145158E+02   0.263449E+02   0.816528E+06   0.973347E+02
   574   0.217738E+04   0.147799E+02   0.265667E+02   0.814458E+06   0.981182E+02
   575   0.216978E+04   0.150464E+02   0.267581E+02   0.812396E+06   0.989118E+02
   576   0.216209E+04   0.153154E+02   0.269187E+02   0.810342E+06   0.997153E+02
   577   0.215435E+04   0.155866E+02   0.270485E+02   0.808297E+06   0.100528E+03
   578   0.214654E+04   0.158601E+02   0.271470E+02   0.806259E+06   0.101351E+03
   579   0.213868E+04   0.161356E+02   0.272144E+02   0.804230E+06   0.102182E+03
   580   0.213076E+04   0.164132E+02   0.272504E+02   0.802208E+06   0.103023E+03
   581   0.212280E+04   0.166925E+02   0.272547E+02   0.800195E+06   0.103871E+03
   582   0.211481E+04   0.169737E+02   0.272273E+02   0.798189E+06   0.104728E+03
   583   0.210677E+04   0.172564E+02   0.271680E+02   0.796192E+06   0.105593E+03
   584   0.209870E+04   0.175407E+02   0.270765E+02   0.794202E+06   0.106465E+03
   585   0.209061E+04   0.178264E+02   0.269529E+02   0.792220E+06   0.107345E+03
   586   0.208250E+04   0.181133E+02   0.267968E+02   0.790245E+06   0.108232E+03
   587   0.207437E+04   0.184014E+02   0.266085E+02   0.788279E+06   0.109125E+03
   588   0.206624E+04   0.186905E+02   0.263879E+02   0.786320E+06   0.110025E+03
   589   0.205810E+04   0.189806E+02   0.261348E+02   0.784369E+06   0.110931E+03
   590   0.204996E+04   0.192714E+02   0.258493E+02   0.782425E+06   0.111843E+03
   591   0.204183E+04   0.195628E+02   0.255313E+02   0.780489E+06   0.112761E+03
   592   0.203371E+04   0.198548E+02   0.251808E+02   0.778560E+06   0.113684E+03
   593   0.202561E+04   0.201471E+02   0.247979E+02   0.776639E+06   0.114612E+03
   594   0.201752E+04   0.204397E+02   0.243826E+02   0.774726E+06   0.115545E+03
   595   0.200947E+04   0.207324E+02   0.239350E+02   0.772820E+06   0.116482E+03
   596   0.200145E+04   0.210250E+02   0.234551E+02   0.770921E+06   0.117424E+03
   597   0.199346E+04   0.213175E+02   0.229430E+02   0.769029E+06   0.118369E+03
   598   0.198552E+04   0.216097E+02   0.223989E+02   0.767145E+06   0.119318E+03
   599   0.197762E+04   0.219015E+02   0.218228E+02   0.765268E+06   0.120270E+03
   600   0.196978E+04   0.221927E+02   0.212148E+02   0.763399E+06   0.121226E+03
   601   0.196200E+04   0.224832E+02   0.205752E+02   0.761536E+06   0.122184E+03
   602   0.195427E+04   0.227728E+02   0.199042E+02   0.759681E+06   0.123145E+03
   603   0.194662E+04   0.230615E+02   0.192020E+02   0.757833E+06   0.124108E+03
   604   0.193904E+04   0.233493E+02   0.184688E+02   0.755992E+06   0.125073E+03
   605   0.193152E+04   0.236358E+02   0.177048E+02   0.754158E+06   0.126041E+03
   606   0.192408E+04   0.239212E+02   0.169102E+02   0.752331E+06   0.127010E+03
   607   0.191672E+04   0.242052E+02   0.160853E+02   0.750511E+06   0.127981E+03
   608   0.190945E+04   0.244878E+02   0.152304E+02   0.748698E+06   0.128953E+03
   609   0.190227E+04   0.247689E+02   0.143457E+02   0.746892E+06   0.129927E+03
   610   0.189517E+04   0.250483E+02   0.134316E+02   0.745092E+06   0.130902E+03
   611   0.188818E+04   0.253259E+02   0.124883E+02   0.743300E+06   0.131877E+03
   612   0.188127E+04   0.256016E+02   0.115161E+02   0.741515E+06   0.132854E+03
   613   0.187447E+04   0.258753E+02   0.105154E+02   0.739736E+06   0.133831E+03
   614   0.186779E+04   0.261470E+02   0.948646E+01   0.737964E+06   0.134808E+03
   615   0.186120E+04   0.264164E+02   0.842985E+01   0.736199E+06   0.135786E+03
   616   0.185473E+04   0.266835E+02   0.734611E+01   0.734441E+06   0.136764E+03
   617   0.184838E+04   0.269482E+02   0.623560E+01   0.732690E+06   0.137741E+03
   618   0.184215E+04   0.272105E+02   0.509889E+01   0.730945E+06   0.138719E+03
   619   0.183605E+04   0.274702E+02   0.393641E+01   0.729206E+06   0.139695E+03
   620   0.183007E+04   0.277273E+02   0.274867E+01   0.727475E+06   0.140671E+03
   621   0.182423E+04   0.279816E+02   0.153608E+01   0.725750E+06   0.141647E+03
   622   0.181853E+04   0.282330E+02   0.299233E+00   0.724031E+06   0.142621E+03
   623   0.181295E+04   0.284814E+02  -0.961376E+00   0.722319E+06   0.143593E+03
   624   0.180753E+04   0.287267E+02  -0.224532E+01   0.720613E+06   0.144565E+03
   625   0.180224E+04   0.289689E+02  -0.355209E+01   0.718914E+06   0.145535E+03
   626   0.179711E+04   0.292077E+02  -0.488112E+01   0.717222E+06   0.146503E+03
   627   0.179212E+04   0.294430E+02  -0.623197E+01   0.715535E+06   0.147469E+03
   628   0.178729E+04   0.296748E+02  -0.760407E+01   0.713855E+06   0.148432E+03
   629   0.178261E+04   0.299030E+02  -0.899670E+01   0.712182E+06   0.149394E+03
   630   0.177810E+04   0.301275E+02  -0.104093E+02   0.710515E+06   0.150353E+03
   631   0.177374E+04   0.303481E+02  -0.118412E+02   0.708853E+06   0.151309E+03
   632   0.176954E+04   0.305648E+02  -0.132918E+02   0.707199E+06   0.152263E+03
   633   0.176552E+04   0.307774E+02  -0.147605E+02   0.705550E+06   0.153213E+03
   634   0.176166E+04   0.309858E+02  -0.162467E+02   0.703908E+06   0.154160E+03
   635   0.175797E+04   0.311901E+02  -0.177496E+02   0.702271E+06   0.155104E+03
   636   0.175446E+04   0.313900E+02  -0.192685E+02   0.700641E+06   0.156044E+03
   637   0.175112E+04   0.315855E+02  -0.208028E+02   0.699017E+06   0.156980E+03
   638   0.174796E+04   0.317765E+02  -0.223516E+02   0.697399E+06   0.157912E+03
   639   0.174498E+04   0.319629E+02  -0.239144E+02   0.695787E+06   0.158840E+03
   640   0.174218E+04   0.321446E+02  -0.254904E+02   0.694181E+06   0.159764E+03
   641   0.173957E+04   0.323215E+02  -0.270789E+02   0.692581E+06   0.160683E+03
   642   0.173714E+04   0.324935E+02  -0.286791E+02   0.690987E+06   0.161597E+03
   643   0.173491E+04   0.326606E+02  -0.302901E+02   0.689399E+06   0.162507E+03
   644   0.173285E+04   0.328226E+02  -0.319113E+02   0.687817E+06   0.163411E+03
   645   0.173099E+04   0.329793E+02  -0.335418E+02   0.686240E+06   0.164310E+03
   646   0.172933E+04   0.331309E+02  -0.351807E+02   0.684669E+06   0.165204E+03
   647   0.172785E+04   0.332770E+02  -0.368274E+02   0.683105E+06   0.166092E+03
   648   0.172657E+04   0.334177E+02  -0.384809E+02   0.681545E+06   0.166975E+03
   649   0.172549E+04   0.335529E+02  -0.401405E+02   0.679992E+06   0.167851E+03
   650   0.172461E+04   0.336824E+02  -0.418052E+02   0.678444E+06   0.168721E+03
   651   0.172392E+04   0.338064E+02  -0.434743E+02   0.676902E+06   0.169585E+03
   652   0.172343E+04   0.339248E+02  -0.451470E+02   0.675366E+06   0.170442E+03
   653   0.172314E+04   0.340375E+02  -0.468228E+02   0.673835E+06   0.171294E+03
   654   0.172305E+04   0.341446E+02  -0.485010E+02   0.672310E+06   0.172138E+03
   655   0.172317E+04   0.342459E+02  -0.501811E+02   0.670790E+06   0.172976E+03
   656   0.172348E+04   0.343415E+02  -0.518622E+02   0.669276E+06   0.173808E+03
   657   0.172399E+04   0.344314E+02  -0.535439E+02   0.667767E+06   0.174633E+03
   658   0.172471E+04   0.345155E+02  -0.552253E+02   0.666264E+06   0.175452E+03
   659   0.172562E+04   0.345937E+02  -0.569058E+02   0.664766E+06   0.176264E+03
   660   0.172674E+04   0.346661E+02  -0.585848E+02   0.663274E+06   0.177070E+03
   661   0.172805E+04   0.347326E+02  -0.602615E+02   0.661787E+06   0.177869E+03
   662   0.172957E+04   0.347931E+02  -0.619353E+02   0.660305E+06   0.178661E+03
   663   0.173127E+04   0.348477E+02  -0.636054E+02   0.658829E+06   0.179447E+03
   664   0.173318E+04   0.348963E+02  -0.652712E+02   0.657358E+06   0.180226E+03
   665   0.173529E+04   0.349389E+02  -0.669320E+02   0.655893E+06   0.180998E+03
   666   0.173759E+04   0.349755E+02  -0.685870E+02   0.654432E+06   0.181764E+03
   667   0.174008E+04   0.350062E+02  -0.702355E+02   0.652977E+06   0.182523E+03
   668   0.174277E+04   0.350309E+02  -0.718769E+02   0.651528E+06   0.183275E+03
   669   0.174564E+04   0.350495E+02  -0.735104E+02   0.650083E+06   0.184021E+03
   670   0.174872E+04   0.350621E+02  -0.751353E+02   0.648644E+06   0.184760E+03
   671   0.175198E+04   0.350688E+02  -0.767508E+02   0.647209E+06   0.185491E+03
   672   0.175542E+04   0.350694E+02  -0.783565E+02   0.645780E+06   0.186217E+03
   673   0.175906E+04   0.350641E+02  -0.799513E+02   0.644356E+06   0.186935E+03
   674   0.176287E+04   0.350527E+02  -0.815347E+02   0.642937E+06   0.187646E+03
   675   0.176688E+04   0.350354E+02  -0.831060E+02   0.641524E+06   0.188350E+03
   676   0.177106E+04   0.350121E+02  -0.846643E+02   0.640115E+06   0.189048E+03
   677   0.177543E+04   0.349829E+02  -0.862091E+02   0.638711E+06   0.189738E+03
   678   0.177996E+04   0.349477E+02  -0.877394E+02   0.637312E+06   0.190422E+03
   679   0.178468E+04   0.349065E+02  -0.892544E+02   0.635918E+06   0.191098E+03
   680   0.178957E+04   0.348594E+02  -0.907537E+02   0.634529E+06   0.191768E+03
   681   0.179462E+04   0.348063E+02  -0.922360E+02   0.633145E+06   0.192430E+03
   682   0.179984E+04   0.347473E+02  -0.937010E+02   0.631766E+06   0.193086E+03
   683   0.180522E+04   0.346824E+02  -0.951476E+02   0.630392E+06   0.193734E+03
   684   0.181077E+04   0.346115E+02  -0.965753E+02   0.629022E+06   0.194375E+03
   685   0.181648E+04   0.345349E+02  -0.979835E+02   0.627658E+06   0.195009E+03
   686   0.182234E+04   0.344525E+02  -0.993711E+02   0.626298E+06   0.195636E+03
   687   0.182835E+04   0.343646E+02  -0.100738E+03   0.624943E+06   0.196256E+03
   688   0.183452E+04   0.342709E+02  -0.102084E+03   0.623592E+06   0.196868E+03
   689   0.184084E+04   0.341718E+02  -0.103407E+03   0.622246E+06   0.197474E+03
   690   0.184730E+04   0.340673E+02  -0.104707E+03   0.620905E+06   0.198072E+03
   691   0.185390E+04   0.339574E+02  -0.105984E+03   0.619569E+06   0.198662E+03
   692   0.186064E+04   0.338421E+02  -0.107237E+03   0.618237E+06   0.199246E+03
   693   0.186752E+04   0.337215E+02  -0.108465E+03   0.616910E+06   0.199822E+03
   694   0.187453E+04   0.335958E+02  -0.109667E+03   0.615588E+06   0.200391E+03
   695   0.188167E+04   0.334648E+02  -0.110842E+03   0.614270E+06   0.200952E+03
   696   0.188892E+04   0.333286E+02  -0.111991E+03   0.612956E+06   0.201506E+03
   697   0.189631E+04   0.331875E+02  -0.113111E+03   0.611647E+06   0.202053E+03
   698   0.190380E+04   0.330413E+02  -0.114203E+03   0.610343E+06   0.202592E+03
   699   0.191141E+04   0.328902E+02  -0.115266E+03   0.609043E+06   0.203124E+03
   700   0.191912E+04   0.327343E+02  -0.116299E+03   0.607747E+06   0.203648E+03
   701   0.192694E+04   0.325736E+02  -0.117302E+03   0.606456E+06   0.204164E+03
   702   0.193485E+04   0.324082E+02  -0.118274E+03   0.605169E+06   0.204673E+03
   703   0.194286E+04   0.322383E+02  -0.119215E+03   0.603887E+06   0.205174E+03
   704   0.195097E+04   0.320637E+02  -0.120124E+03   0.602609E+06   0.205667E+03
   705   0.195916E+04   0.318847E+02  -0.121002E+03   0.601335E+06   0.206152E+03
   706   0.196745E+04   0.317013E+02  -0.121847E+03   0.600066E+06   0.206628E+03
   707   0.197582E+04   0.315137E+02  -0.122659E+03   0.598800E+06   0.207096E+03
   708   0.198426E+04   0.313217E+02  -0.123439E+03   0.597540E+06   0.207555E+03
   709   0.199278E+04   0.311258E+02  -0.124186E+03   0.596283E+06   0.208004E+03
   710   0.200138E+04   0.309258E+02  -0.124899E+03   0.595030E+06   0.208445E+03
   711   0.201004E+04   0.307218E+02  -0.125578E+03   0.593782E+06   0.208876E+03
   712   0.201877E+04   0.305139E+02  -0.126223E+03   0.592538E+06   0.209297E+03
   713   0.202756E+04   0.303023E+02  -0.126833E+03   0.591299E+06   0.209708E+03
   714   0.203640E+04   0.300869E+02  -0.127409E+03   0.590063E+06   0.210110E+03
   715   0.204530E+04   0.298680E+02  -0.127949E+03   0.588831E+06   0.210501E+03
   716   0.205425E+04   0.296455E+02  -0.128455E+03   0.587604E+06   0.210882E+03
   717   0.206323E+04   0.294194E+02  -0.128924E+03   0.586381E+06   0.211252E+03
   718   0.207226E+04   0.291900E+02  -0.129357E+03   0.585161E+06   0.211611E+03
   719   0.208131E+04   0.289574E+02  -0.129754E+03   0.583946E+06   0.211959E+03
   720   0.209041E+04   0.287216E+02  -0.130115E+03   0.582735E+06   0.212296E+03
   721   0.209952E+04   0.284829E+02  -0.130439E+03   0.581528E+06   0.212622E+03
   722   0.210866E+04   0.282412E+02  -0.130726E+03   0.580325E+06   0.212936E+03
   723   0.211783E+04   0.279969E+02  -0.130978E+03   0.579126E+06   0.213238E+03
   724   0.212701E+04   0.277501E+02  -0.131193E+03   0.577931E+06   0.213529E+03
   725   0.213620E+04   0.275008E+02  -0.131370E+03   0.576739E+06   0.213807E+03
   726   0.214540E+04   0.272492E+02  -0.131512E+03   0.575552E+06   0.214073E+03
   727   0.215461E+04   0.269953E+02  -0.131616E+03   0.574369E+06   0.214326E+03
   728   0.216382E+04   0.267394E+02  -0.131684E+03   0.573189E+06   0.214566E+03
   729   0.217302E+04   0.264816E+02  -0.131713E+03   0.572014E+06   0.214794E+03
   730   0.218222E+04   0.262218E+02  -0.131706E+03   0.570842E+06   0.215008E+03
   731   0.219140E+04   0.259603E+02  -0.131662E+03   0.569674E+06   0.215209E+03
   732   0.220056E+04   0.256972E+02  -0.131580E+03   0.568510E+06   0.215397E+03
   733   0.220970E+04   0.254327E+02  -0.131461E+03   0.567349E+06   0.215571E+03
   734   0.221881E+04   0.251668E+02  -0.131303E+03   0.566193E+06   0.215730E+03
   735   0.222788E+04   0.248997E+02  -0.131109E+03   0.565040E+06   0.215876E+03
   736   0.223692E+04   0.246316E+02  -0.130876E+03   0.563891E+06   0.216007E+03
   737   0.224592E+04   0.243625E+02  -0.130607E+03   0.562745E+06   0.216124E+03
   738   0.225486E+04   0.240927E+02  -0.130299E+03   0.561604E+06   0.216227E+03
   739   0.226376E+04   0.238222E+02  -0.129954E+03   0.560466E+06   0.216314E+03
   740   0.227260E+04   0.235512E+02  -0.129571E+03   0.559331E+06   0.216386E+03
   741   0.228136E+04   0.232800E+02  -0.129151E+03   0.558201E+06   0.216443E+03
   742   0.229006E+04   0.230086E+02  -0.128695E+03   0.557073E+06   0.216484E+03
   743   0.229870E+04   0.227372E+02  -0.128201E+03   0.555950E+06   0.216510E+03
   744   0.230724E+04   0.224659E+02  -0.127669E+03   0.554830E+06   0.216520E+03
   745   0.231570E+04   0.221950E+02  -0.127101E+03   0.553714E+06   0.216514E+03
   746   0.232407E+04   0.219246E+02  -0.126497E+03   0.552601E+06   0.216491E+03
   747   0.233235E+04   0.216548E+02  -0.125856E+03   0.551491E+06   0.216452E+03
   748   0.234052E+04   0.213857E+02  -0.125179E+03   0.550386E+06   0.216397E+03
   749   0.234860E+04   0.211175E+02  -0.124466E+03   0.549283E+06   0.216324E+03
   750   0.235656E+04   0.208504E+02  -0.123718E+03   0.548184E+06   0.216235E+03
   751   0.236441E+04   0.205845E+02  -0.122933E+03   0.547089E+06   0.216128E+03
   752   0.237213E+04   0.203198E+02  -0.122113E+03   0.545997E+06   0.216004E+03
   753   0.237973E+04   0.200566E+02  -0.121259E+03   0.544908E+06   0.215864E+03
   754   0.238722E+04   0.197948E+02  -0.120369E+03   0.543823E+06   0.215707E+03
   755   0.239457E+04   0.195347E+02  -0.119446E+03   0.542741E+06   0.215535E+03
   756   0.240180E+04   0.192763E+02  -0.118488E+03   0.541663E+06   0.215346E+03
   757   0.240890E+04   0.190198E+02  -0.117496E+03   0.540588E+06   0.215141E+03
   758   0.241587E+04   0.187653E+02  -0.116473E+03   0.539516E+06   0.214922E+03
   759   0.242271E+04   0.185128E+02  -0.115416E+03   0.538447E+06   0.214687E+03
   760   0.242941E+04   0.182626E+02  -0.114327E+03   0.537382E+06   0.214438E+03
   761   0.243598E+04   0.180147E+02  -0.113206E+03   0.536320E+06   0.214173E+03
   762   0.244240E+04   0.177692E+02  -0.112053E+03   0.535262E+06   0.213895E+03
   763   0.244869E+04   0.175262E+02  -0.110869E+03   0.534207E+06   0.213603E+03
   764   0.245481E+04   0.172858E+02  -0.109653E+03   0.533155E+06   0.213297E+03
   765   0.246079E+04   0.170481E+02  -0.108407E+03   0.532106E+06   0.212977E+03
   766   0.246661E+04   0.168132E+02  -0.107130E+03   0.531060E+06   0.212645E+03
   767   0.247226E+04   0.165810E+02  -0.105822E+03   0.530018E+06   0.212299E+03
   768   0.247775E+04   0.163519E+02  -0.104485E+03   0.528979E+06   0.211941E+03
   769   0.248307E+04   0.161259E+02  -0.103118E+03   0.527943E+06   0.211571E+03
   770   0.248822E+04   0.159032E+02  -0.101723E+03   0.526910E+06   0.211188E+03
   771   0.249319E+04   0.156838E+02  -0.100300E+03   0.525880E+06   0.210794E+03
   772   0.249799E+04   0.154678E+02  -0.988496E+02   0.524854E+06   0.210388E+03
   773   0.250260E+04   0.152555E+02  -0.973727E+02   0.523831E+06   0.209971E+03
   774   0.250703E+04   0.150469E+02  -0.958699E+02   0.522810E+06   0.209543E+03
   775   0.251127E+04   0.148420E+02  -0.943415E+02   0.521793E+06   0.209104E+03
   776   0.251533E+04   0.146411E+02  -0.927892E+02   0.520779E+06   0.208655E+03
   777   0.251920E+04   0.144442E+02  -0.912125E+02   0.519768E+06   0.208195E+03
   778   0.252289E+04   0.142514E+02  -0.896131E+02   0.518760E+06   0.207726E+03
   779   0.252640E+04   0.140628E+02  -0.879905E+02   0.517755E+06   0.207247E+03
   780   0.252972E+04   0.138785E+02  -0.863473E+02   0.516753E+06   0.206758E+03
   781   0.253286E+04   0.136985E+02  -0.846829E+02   0.515754E+06   0.206261E+03
   782   0.253580E+04   0.135230E+02  -0.829982E+02   0.514759E+06   0.205755E+03
   783   0.253855E+04   0.133520E+02  -0.812929E+02   0.513766E+06   0.205240E+03
   784   0.254111E+04   0.131857E+02  -0.795686E+02   0.512776E+06   0.204717E+03
   785   0.254347E+04   0.130240E+02  -0.778248E+02   0.511789E+06   0.204185E+03
   786   0.254561E+04   0.128671E+02  -0.760618E+02   0.510805E+06   0.203647E+03
   787   0.254755E+04   0.127150E+02  -0.742814E+02   0.509824E+06   0.203100E+03
   788   0.254928E+04   0.125679E+02  -0.724822E+02   0.508845E+06   0.202547E+03
   789   0.255079E+04   0.124258E+02  -0.706667E+02   0.507870E+06   0.201986E+03
   790   0.255209E+04   0.122889E+02  -0.688345E+02   0.506898E+06   0.201419E+03
   791   0.255316E+04   0.121573E+02  -0.669888E+02   0.505928E+06   0.200846E+03
   792   0.255403E+04   0.120311E+02  -0.651290E+02   0.504961E+06   0.200266E+03
   793   0.255467E+04   0.119105E+02  -0.632569E+02   0.503997E+06   0.199681E+03
   794   0.255509E+04   0.117955E+02  -0.613735E+02   0.503036E+06   0.199090E+03
   795   0.255529E+04   0.116864E+02  -0.594806E+02   0.502078E+06   0.198493E+03
   796   0.255528E+04   0.115830E+02  -0.575775E+02   0.501123E+06   0.197892E+03
   797   0.255505E+04   0.114854E+02  -0.556661E+02   0.500170E+06   0.197286E+03
   798   0.255459E+04   0.113937E+02  -0.537467E+02   0.499220E+06   0.196675E+03
   799   0.255393E+04   0.113079E+02  -0.518201E+02   0.498273E+06   0.196061E+03
   800   0.255304E+04   0.112281E+02  -0.498858E+02   0.497328E+06   0.195442E+03
   801   0.255194E+04   0.111542E+02  -0.479464E+02   0.496387E+06   0.194819E+03
   802   0.255062E+04   0.110862E+02  -0.460011E+02   0.495448E+06   0.194193E+03
   803   0.254909E+04   0.110244E+02  -0.440506E+02   0.494512E+06   0.193563E+03
   804   0.254734E+04   0.109685E+02  -0.420964E+02   0.493578E+06   0.192930E+03
   805   0.254537E+04   0.109188E+02  -0.401376E+02   0.492647E+06   0.192292E+03
   806   0.254316E+04   0.108753E+02  -0.381765E+02   0.491719E+06   0.191651E+03
   807   0.254072E+04   0.108381E+02  -0.362116E+02   0.490793E+06   0.191005E+03
   808   0.253806E+04   0.108072E+02  -0.342458E+02   0.489870E+06   0.190356E+03
   809   0.253516E+04   0.107826E+02  -0.322782E+02   0.488950E+06   0.189703E+03
   810   0.253202E+04   0.107644E+02  -0.303098E+02   0.488032E+06   0.189045E+03
   811   0.252866E+04   0.107526E+02  -0.283419E+02   0.487117E+06   0.188384E+03
   812   0.252508E+04   0.107470E+02  -0.263753E+02   0.486205E+06   0.187718E+03
   813   0.252128E+04   0.107478E+02  -0.244110E+02   0.485295E+06   0.187048E+03
   814   0.251727E+04   0.107548E+02  -0.224496E+02   0.484388E+06   0.186373E+03
   815   0.251306E+04   0.107680E+02  -0.204923E+02   0.483483E+06   0.185695E+03
   816   0.250864E+04   0.107876E+02  -0.185397E+02   0.482581E+06   0.185012E+03
   817   0.250402E+04   0.108134E+02  -0.165923E+02   0.481682E+06   0.184325E+03
   818   0.249920E+04   0.108454E+02  -0.146504E+02   0.480785E+06   0.183633E+03
   819   0.249416E+04   0.108836E+02  -0.127144E+02   0.479890E+06   0.182936E+03
   820   0.248891E+04   0.109282E+02  -0.107847E+02   0.478998E+06   0.182236E+03
   821   0.248344E+04   0.109790E+02  -0.886164E+01   0.478109E+06   0.181530E+03
   822   0.247775E+04   0.110361E+02  -0.694545E+01   0.477222E+06   0.180820E+03
   823   0.247183E+04   0.110995E+02  -0.503663E+01   0.476337E+06   0.180105E+03
   824   0.246569E+04   0.111691E+02  -0.313621E+01   0.475456E+06   0.179386E+03
   825   0.245935E+04   0.112449E+02  -0.124532E+01   0.474576E+06   0.178662E+03
   826   0.245280E+04   0.113270E+02   0.634858E+00   0.473699E+06   0.177933E+03
   827   0.244605E+04   0.114151E+02   0.250318E+01   0.472825E+06   0.177199E+03
   828   0.243911E+04   0.115093E+02   0.435865E+01   0.471952E+06   0.176460E+03
   829   0.243199E+04   0.116095E+02   0.620001E+01   0.471083E+06   0.175716E+03
   830   0.242470E+04   0.117158E+02   0.802627E+01   0.470216E+06   0.174967E+03
   831   0.241722E+04   0.118281E+02   0.983709E+01   0.469351E+06   0.174213E+03
   832   0.240957E+04   0.119462E+02   0.116320E+02   0.468488E+06   0.173454E+03
   833   0.240173E+04   0.120703E+02   0.134108E+02   0.467628E+06   0.172690E+03
   834   0.239371E+04   0.122002E+02   0.151731E+02   0.466771E+06   0.171921E+03
   835   0.238550E+04   0.123360E+02   0.169185E+02   0.465916E+06   0.171146E+03
   836   0.237710E+04   0.124776E+02   0.186469E+02   0.465063E+06   0.170366E+03
   837   0.236850E+04   0.126250E+02   0.203576E+02   0.464212E+06   0.169581E+03
   838   0.235973E+04   0.127781E+02   0.220500E+02   0.463364E+06   0.168791E+03
   839   0.235077E+04   0.129368E+02   0.237230E+02   0.462518E+06   0.167995E+03
   840   0.234164E+04   0.131010E+02   0.253757E+02   0.461674E+06   0.167193E+03
   841   0.233235E+04   0.132705E+02   0.270071E+02   0.460833E+06   0.166386E+03
   842   0.232291E+04   0.134454E+02   0.286162E+02   0.459994E+06   0.165574E+03
   843   0.231331E+04   0.136255E+02   0.302021E+02   0.459158E+06   0.164756E+03
   844   0.230357E+04   0.138107E+02   0.317638E+02   0.458323E+06   0.163932E+03
   845   0.229369E+04   0.140009E+02   0.333009E+02   0.457491E+06   0.163102E+03
   846   0.228367E+04   0.141961E+02   0.348127E+02   0.456661E+06   0.162267E+03
   847   0.227350E+04   0.143963E+02   0.362987E+02   0.455834E+06   0.161426E+03
   848   0.226319E+04   0.146014E+02   0.377583E+02   0.455008E+06   0.160579E+03
   849   0.225274E+04   0.148114E+02   0.391911E+02   0.454185E+06   0.159727E+03
   850   0.224213E+04   0.150263E+02   0.405964E+02   0.453364E+06   0.158868E+03
   851   0.223139E+04   0.152460E+02   0.419738E+02   0.452546E+06   0.158003E+03
   852   0.222051E+04   0.154703E+02   0.433231E+02   0.451729E+06   0.157133E+03
   853   0.220950E+04   0.156992E+02   0.446439E+02   0.450915E+06   0.156257E+03
   854   0.219835E+04   0.159324E+02   0.459362E+02   0.450103E+06   0.155375E+03
   855   0.218710E+04   0.161700E+02   0.471996E+02   0.449293E+06   0.154488E+03
   856   0.217572E+04   0.164117E+02   0.484339E+02   0.448485E+06   0.153596E+03
   857   0.216424E+04   0.166573E+02   0.496389E+02   0.447679E+06   0.152698E+03
   858   0.215266E+04   0.169068E+02   0.508144E+02   0.446876E+06   0.151796E+03
   859   0.214098E+04   0.171601E+02   0.519597E+02   0.446074E+06   0.150888E+03
   860   0.212920E+04   0.174173E+02   0.530744E+02   0.445275E+06   0.149977E+03
   861   0.211733E+04   0.176781E+02   0.541579E+02   0.444478E+06   0.149060E+03
   862   0.210536E+04   0.179425E+02   0.552094E+02   0.443683E+06   0.148139E+03
   863   0.209331E+04   0.182107E+02   0.562286E+02   0.442891E+06   0.147214E+03
   864   0.208117E+04   0.184823E+02   0.572147E+02   0.442100E+06   0.146285E+03
   865   0.206894E+04   0.187575E+02   0.581673E+02   0.441311E+06   0.145351E+03
   866   0.205664E+04   0.190360E+02   0.590864E+02   0.440525E+06   0.144414E+03
   867   0.204425E+04   0.193178E+02   0.599722E+02   0.439740E+06   0.143474E+03
   868   0.203179E+04   0.196027E+02   0.608247E+02   0.438958E+06   0.142529E+03
   869   0.201925E+04   0.198906E+02   0.616442E+02   0.438178E+06   0.141582E+03
   870   0.200664E+04   0.201815E+02   0.624305E+02   0.437400E+06   0.140631E+03
   871   0.199395E+04   0.204750E+02   0.631840E+02   0.436623E+06   0.139677E+03
   872   0.198121E+04   0.207712E+02   0.639047E+02   0.435849E+06   0.138719E+03
   873   0.196839E+04   0.210697E+02   0.645923E+02   0.435077E+06   0.137760E+03
   874   0.195552E+04   0.213707E+02   0.652466E+02   0.434307E+06   0.136797E+03
