#    L    TT             EE             BB             TE          
  2080   0.196921E+03   0.534047E+01   0.512772E-01  -0.337228E+01
  2081   0.196183E+03   0.535172E+01   0.512210E-01  -0.328766E+01
  2082   0.195442E+03   0.536338E+01   0.511648E-01  -0.320499E+01
  2083   0.194699E+03   0.537543E+01   0.511085E-01  -0.312430E+01
  2084   0.193953E+03   0.538787E+01   0.510522E-01  -0.304553E+01
  2085   0.193207E+03   0.540066E+01   0.509957E-01  -0.296880E+01
  2086   0.192458E+03   0.541382E+01   0.509392E-01  -0.289405E+01
  2087   0.191708E+03   0.542731E+01   0.508827E-01  -0.282132E+01
  2088   0.190957E+03   0.544111E+01   0.508261E-01  -0.275063E+01
  2089   0.190205E+03   0.545522E+01   0.507694E-01  -0.268201E+01
  2090   0.189451E+03   0.546962E+01   0.507127E-01  -0.261550E+01
  2091   0.188697E+03   0.548430E+01   0.506559E-01  -0.255105E+01
  2092   0.187942E+03   0.549923E+01   0.505991E-01  -0.248876E+01
  2093   0.187188E+03   0.551439E+01   0.505422E-01  -0.242867E+01
  2094   0.186433E+03   0.552978E+01   0.504853E-01  -0.237065E+01
  2095   0.185678E+03   0.554537E+01   0.504283E-01  -0.231489E+01
  2096   0.184924E+03   0.556114E+01   0.503713E-01  -0.226135E+01
  2097   0.184171E+03   0.557708E+01   0.503143E-01  -0.221001E+01
  2098   0.183418E+03   0.559317E+01   0.502572E-01  -0.216093E+01
  2099   0.182666E+03   0.560938E+01   0.502001E-01  -0.211412E+01
  2100   0.181916E+03   0.562571E+01   0.501429E-01  -0.206959E+01
  2101   0.181167E+03   0.564213E+01   0.500857E-01  -0.202735E+01
  2102   0.180419E+03   0.565863E+01   0.500285E-01  -0.198740E+01
  2103   0.179673E+03   0.567521E+01   0.499713E-01  -0.194972E+01
  2104   0.178928E+03   0.569188E+01   0.499140E-01  -0.191431E+01
  2105   0.178185E+03   0.570862E+01   0.498567E-01  -0.188115E+01
  2106   0.177443E+03   0.572542E+01   0.497994E-01  -0.185021E+01
  2107   0.176703E+03   0.574230E+01   0.497421E-01  -0.182150E+01
  2108   0.175964E+03   0.575923E+01   0.496847E-01  -0.179499E+01
  2109   0.175229E+03   0.577621E+01   0.496273E-01  -0.177067E+01
  2110   0.174494E+03   0.579325E+01   0.495699E-01  -0.174852E+01
  2111   0.173762E+03   0.581033E+01   0.495125E-01  -0.172854E+01
  2112   0.173032E+03   0.582744E+01   0.494550E-01  -0.171071E+01
  2113   0.172305E+03   0.584459E+01   0.493976E-01  -0.169498E+01
  2114   0.171579E+03   0.586176E+01   0.493401E-01  -0.168137E+01
  2115   0.170856E+03   0.587894E+01   0.492827E-01  -0.166982E+01
  2116   0.170136E+03   0.589613E+01   0.492252E-01  -0.166034E+01
  2117   0.169418E+03   0.591333E+01   0.491677E-01  -0.165290E+01
  2118   0.168702E+03   0.593051E+01   0.491102E-01  -0.164748E+01
  2119   0.167989E+03   0.594767E+01   0.490527E-01  -0.164405E+01
  2120   0.167279E+03   0.596481E+01   0.489952E-01  -0.164260E+01
  2121   0.166572E+03   0.598192E+01   0.489378E-01  -0.164309E+01
  2122   0.165867E+03   0.599898E+01   0.488803E-01  -0.164551E+01
  2123   0.165165E+03   0.601600E+01   0.488228E-01  -0.164983E+01
  2124   0.164468E+03   0.603295E+01   0.487654E-01  -0.165604E+01
  2125   0.163773E+03   0.604982E+01   0.487079E-01  -0.166410E+01
  2126   0.163081E+03   0.606662E+01   0.486505E-01  -0.167399E+01
  2127   0.162394E+03   0.608332E+01   0.485931E-01  -0.168570E+01
  2128   0.161710E+03   0.609992E+01   0.485357E-01  -0.169918E+01
  2129   0.161029E+03   0.611640E+01   0.484784E-01  -0.171442E+01
  2130   0.160352E+03   0.613275E+01   0.484211E-01  -0.173140E+01
  2131   0.159679E+03   0.614896E+01   0.483638E-01  -0.175010E+01
  2132   0.159010E+03   0.616502E+01   0.483065E-01  -0.177049E+01
  2133   0.158345E+03   0.618092E+01   0.482493E-01  -0.179253E+01
  2134   0.157685E+03   0.619665E+01   0.481922E-01  -0.181620E+01
  2135   0.157028E+03   0.621219E+01   0.481351E-01  -0.184147E+01
  2136   0.156377E+03   0.622752E+01   0.480780E-01  -0.186831E+01
  2137   0.155730E+03   0.624264E+01   0.480210E-01  -0.189669E+01
  2138   0.155088E+03   0.625754E+01   0.479641E-01  -0.192658E+01
  2139   0.154451E+03   0.627219E+01   0.479072E-01  -0.195794E+01
  2140   0.153819E+03   0.628660E+01   0.478505E-01  -0.199077E+01
  2141   0.153192E+03   0.630073E+01   0.477937E-01  -0.202500E+01
  2142   0.152571E+03   0.631458E+01   0.477371E-01  -0.206062E+01
  2143   0.151955E+03   0.632813E+01   0.476805E-01  -0.209759E+01
  2144   0.151346E+03   0.634137E+01   0.476240E-01  -0.213588E+01
  2145   0.150741E+03   0.635428E+01   0.475676E-01  -0.217546E+01
  2146   0.150143E+03   0.636684E+01   0.475113E-01  -0.221630E+01
  2147   0.149550E+03   0.637905E+01   0.474551E-01  -0.225836E+01
  2148   0.148964E+03   0.639088E+01   0.473990E-01  -0.230160E+01
  2149   0.148384E+03   0.640231E+01   0.473430E-01  -0.234599E+01
  2150   0.147810E+03   0.641334E+01   0.472871E-01  -0.239148E+01
  2151   0.147243E+03   0.642395E+01   0.472313E-01  -0.243805E+01
  2152   0.146682E+03   0.643413E+01   0.471756E-01  -0.248568E+01
  2153   0.146128E+03   0.644388E+01   0.471201E-01  -0.253437E+01
  2154   0.145580E+03   0.645321E+01   0.470646E-01  -0.258410E+01
  2155   0.145040E+03   0.646212E+01   0.470093E-01  -0.263487E+01
  2156   0.144505E+03   0.647060E+01   0.469540E-01  -0.268665E+01
  2157   0.143977E+03   0.647866E+01   0.468989E-01  -0.273944E+01
  2158   0.143455E+03   0.648630E+01   0.468440E-01  -0.279321E+01
  2159   0.142939E+03   0.649351E+01   0.467891E-01  -0.284796E+01
  2160   0.142431E+03   0.650029E+01   0.467344E-01  -0.290367E+01
  2161   0.141928E+03   0.650665E+01   0.466798E-01  -0.296032E+01
  2162   0.141432E+03   0.651259E+01   0.466253E-01  -0.301788E+01
  2163   0.140943E+03   0.651809E+01   0.465710E-01  -0.307634E+01
  2164   0.140459E+03   0.652317E+01   0.465168E-01  -0.313568E+01
  2165   0.139982E+03   0.652781E+01   0.464628E-01  -0.319586E+01
  2166   0.139512E+03   0.653202E+01   0.464088E-01  -0.325688E+01
  2167   0.139048E+03   0.653579E+01   0.463550E-01  -0.331870E+01
  2168   0.138590E+03   0.653914E+01   0.463014E-01  -0.338130E+01
  2169   0.138138E+03   0.654204E+01   0.462478E-01  -0.344462E+01
  2170   0.137693E+03   0.654452E+01   0.461944E-01  -0.350865E+01
  2171   0.137253E+03   0.654656E+01   0.461412E-01  -0.357334E+01
  2172   0.136821E+03   0.654817E+01   0.460880E-01  -0.363865E+01
  2173   0.136394E+03   0.654934E+01   0.460350E-01  -0.370454E+01
  2174   0.135974E+03   0.655009E+01   0.459822E-01  -0.377099E+01
  2175   0.135561E+03   0.655039E+01   0.459294E-01  -0.383794E+01
  2176   0.135154E+03   0.655026E+01   0.458769E-01  -0.390536E+01
  2177   0.134753E+03   0.654969E+01   0.458244E-01  -0.397322E+01
  2178   0.134358E+03   0.654869E+01   0.457721E-01  -0.404146E+01
  2179   0.133970E+03   0.654724E+01   0.457199E-01  -0.411007E+01
  2180   0.133588E+03   0.654535E+01   0.456678E-01  -0.417899E+01
  2181   0.133212E+03   0.654301E+01   0.456159E-01  -0.424818E+01
  2182   0.132842E+03   0.654023E+01   0.455641E-01  -0.431761E+01
  2183   0.132478E+03   0.653701E+01   0.455124E-01  -0.438721E+01
  2184   0.132121E+03   0.653334E+01   0.454608E-01  -0.445695E+01
  2185   0.131769E+03   0.652923E+01   0.454094E-01  -0.452677E+01
  2186   0.131423E+03   0.652467E+01   0.453581E-01  -0.459662E+01
  2187   0.131084E+03   0.651967E+01   0.453070E-01  -0.466646E+01
  2188   0.130751E+03   0.651422E+01   0.452560E-01  -0.473624E+01
  2189   0.130423E+03   0.650832E+01   0.452051E-01  -0.480591E+01
  2190   0.130102E+03   0.650198E+01   0.451543E-01  -0.487541E+01
  2191   0.129786E+03   0.649518E+01   0.451037E-01  -0.494471E+01
  2192   0.129477E+03   0.648794E+01   0.450532E-01  -0.501376E+01
  2193   0.129173E+03   0.648024E+01   0.450028E-01  -0.508249E+01
  2194   0.128874E+03   0.647209E+01   0.449526E-01  -0.515088E+01
  2195   0.128581E+03   0.646348E+01   0.449025E-01  -0.521886E+01
  2196   0.128295E+03   0.645442E+01   0.448525E-01  -0.528638E+01
  2197   0.128013E+03   0.644490E+01   0.448027E-01  -0.535340E+01
  2198   0.127737E+03   0.643493E+01   0.447530E-01  -0.541983E+01
  2199   0.127467E+03   0.642451E+01   0.447034E-01  -0.548564E+01
  2200   0.127202E+03   0.641363E+01   0.446540E-01  -0.555078E+01
  2201   0.126942E+03   0.640231E+01   0.446047E-01  -0.561519E+01
  2202   0.126688E+03   0.639054E+01   0.445555E-01  -0.567885E+01
  2203   0.126440E+03   0.637833E+01   0.445065E-01  -0.574178E+01
  2204   0.126197E+03   0.636567E+01   0.444577E-01  -0.580398E+01
  2205   0.125959E+03   0.635258E+01   0.444089E-01  -0.586544E+01
  2206   0.125726E+03   0.633905E+01   0.443604E-01  -0.592617E+01
  2207   0.125498E+03   0.632509E+01   0.443119E-01  -0.598617E+01
  2208   0.125275E+03   0.631070E+01   0.442636E-01  -0.604545E+01
  2209   0.125058E+03   0.629588E+01   0.442155E-01  -0.610399E+01
  2210   0.124846E+03   0.628064E+01   0.441675E-01  -0.616181E+01
  2211   0.124638E+03   0.626498E+01   0.441197E-01  -0.621889E+01
  2212   0.124436E+03   0.624891E+01   0.440720E-01  -0.627524E+01
  2213   0.124238E+03   0.623242E+01   0.440244E-01  -0.633083E+01
  2214   0.124045E+03   0.621555E+01   0.439771E-01  -0.638569E+01
  2215   0.123857E+03   0.619826E+01   0.439298E-01  -0.643979E+01
  2216   0.123673E+03   0.618058E+01   0.438827E-01  -0.649312E+01
  2217   0.123495E+03   0.616252E+01   0.438358E-01  -0.654570E+01
  2218   0.123321E+03   0.614407E+01   0.437890E-01  -0.659749E+01
  2219   0.123150E+03   0.612525E+01   0.437424E-01  -0.664851E+01
  2220   0.122985E+03   0.610606E+01   0.436959E-01  -0.669874E+01
  2221   0.122824E+03   0.608650E+01   0.436496E-01  -0.674819E+01
  2222   0.122667E+03   0.606659E+01   0.436034E-01  -0.679682E+01
  2223   0.122515E+03   0.604633E+01   0.435574E-01  -0.684464E+01
  2224   0.122366E+03   0.602572E+01   0.435116E-01  -0.689164E+01
  2225   0.122222E+03   0.600477E+01   0.434659E-01  -0.693781E+01
  2226   0.122081E+03   0.598349E+01   0.434203E-01  -0.698313E+01
  2227   0.121945E+03   0.596187E+01   0.433749E-01  -0.702759E+01
  2228   0.121812E+03   0.593993E+01   0.433296E-01  -0.707119E+01
  2229   0.121682E+03   0.591768E+01   0.432845E-01  -0.711391E+01
  2230   0.121556E+03   0.589511E+01   0.432395E-01  -0.715572E+01
  2231   0.121434E+03   0.587224E+01   0.431947E-01  -0.719662E+01
  2232   0.121315E+03   0.584907E+01   0.431500E-01  -0.723658E+01
  2233   0.121199E+03   0.582562E+01   0.431054E-01  -0.727560E+01
  2234   0.121087E+03   0.580191E+01   0.430610E-01  -0.731365E+01
  2235   0.120977E+03   0.577792E+01   0.430167E-01  -0.735070E+01
  2236   0.120871E+03   0.575370E+01   0.429725E-01  -0.738674E+01
  2237   0.120767E+03   0.572923E+01   0.429284E-01  -0.742176E+01
  2238   0.120666E+03   0.570453E+01   0.428845E-01  -0.745571E+01
  2239   0.120567E+03   0.567961E+01   0.428407E-01  -0.748859E+01
  2240   0.120471E+03   0.565448E+01   0.427970E-01  -0.752039E+01
  2241   0.120377E+03   0.562914E+01   0.427534E-01  -0.755106E+01
  2242   0.120285E+03   0.560360E+01   0.427100E-01  -0.758059E+01
  2243   0.120196E+03   0.557789E+01   0.426666E-01  -0.760895E+01
  2244   0.120109E+03   0.555200E+01   0.426234E-01  -0.763613E+01
  2245   0.120022E+03   0.552594E+01   0.425802E-01  -0.766210E+01
  2246   0.119938E+03   0.549973E+01   0.425372E-01  -0.768683E+01
  2247   0.119855E+03   0.547338E+01   0.424942E-01  -0.771030E+01
  2248   0.119773E+03   0.544690E+01   0.424513E-01  -0.773248E+01
  2249   0.119693E+03   0.542031E+01   0.424086E-01  -0.775336E+01
  2250   0.119613E+03   0.539362E+01   0.423659E-01  -0.777290E+01
  2251   0.119535E+03   0.536683E+01   0.423233E-01  -0.779108E+01
  2252   0.119457E+03   0.533995E+01   0.422807E-01  -0.780789E+01
  2253   0.119380E+03   0.531299E+01   0.422383E-01  -0.782335E+01
  2254   0.119304E+03   0.528594E+01   0.421959E-01  -0.783745E+01
  2255   0.119228E+03   0.525880E+01   0.421536E-01  -0.785019E+01
  2256   0.119153E+03   0.523157E+01   0.421114E-01  -0.786159E+01
  2257   0.119079E+03   0.520426E+01   0.420692E-01  -0.787163E+01
  2258   0.119005E+03   0.517687E+01   0.420271E-01  -0.788033E+01
  2259   0.118932E+03   0.514940E+01   0.419851E-01  -0.788768E+01
  2260   0.118859E+03   0.512186E+01   0.419431E-01  -0.789369E+01
  2261   0.118788E+03   0.509424E+01   0.419012E-01  -0.789836E+01
  2262   0.118717E+03   0.506658E+01   0.418594E-01  -0.790171E+01
  2263   0.118645E+03   0.503887E+01   0.418176E-01  -0.790374E+01
  2264   0.118574E+03   0.501112E+01   0.417758E-01  -0.790445E+01
  2265   0.118504E+03   0.498333E+01   0.417342E-01  -0.790385E+01
  2266   0.118435E+03   0.495550E+01   0.416926E-01  -0.790198E+01
  2267   0.118365E+03   0.492766E+01   0.416510E-01  -0.789877E+01
  2268   0.118295E+03   0.489979E+01   0.416095E-01  -0.789430E+01
  2269   0.118225E+03   0.487191E+01   0.415680E-01  -0.788854E+01
  2270   0.118156E+03   0.484403E+01   0.415266E-01  -0.788160E+01
  2271   0.118086E+03   0.481613E+01   0.414853E-01  -0.787338E+01
  2272   0.118017E+03   0.478823E+01   0.414440E-01  -0.786392E+01
  2273   0.117948E+03   0.476035E+01   0.414027E-01  -0.785328E+01
  2274   0.117878E+03   0.473247E+01   0.413615E-01  -0.784141E+01
  2275   0.117808E+03   0.470463E+01   0.413204E-01  -0.782838E+01
  2276   0.117738E+03   0.467682E+01   0.412793E-01  -0.781421E+01
  2277   0.117667E+03   0.464905E+01   0.412383E-01  -0.779888E+01
  2278   0.117595E+03   0.462133E+01   0.411973E-01  -0.778244E+01
  2279   0.117523E+03   0.459367E+01   0.411564E-01  -0.776494E+01
  2280   0.117451E+03   0.456608E+01   0.411155E-01  -0.774633E+01
  2281   0.117378E+03   0.453854E+01   0.410746E-01  -0.772660E+01
  2282   0.117305E+03   0.451110E+01   0.410339E-01  -0.770586E+01
  2283   0.117229E+03   0.448374E+01   0.409931E-01  -0.768416E+01
  2284   0.117154E+03   0.445647E+01   0.409524E-01  -0.766138E+01
  2285   0.117077E+03   0.442930E+01   0.409118E-01  -0.763766E+01
  2286   0.117000E+03   0.440224E+01   0.408712E-01  -0.761296E+01
  2287   0.116921E+03   0.437531E+01   0.408307E-01  -0.758739E+01
  2288   0.116840E+03   0.434849E+01   0.407902E-01  -0.756085E+01
  2289   0.116759E+03   0.432182E+01   0.407497E-01  -0.753346E+01
  2290   0.116676E+03   0.429530E+01   0.407093E-01  -0.750518E+01
  2291   0.116592E+03   0.426895E+01   0.406689E-01  -0.747612E+01
  2292   0.116506E+03   0.424277E+01   0.406286E-01  -0.744626E+01
  2293   0.116419E+03   0.421678E+01   0.405883E-01  -0.741556E+01
  2294   0.116329E+03   0.419098E+01   0.405481E-01  -0.738420E+01
  2295   0.116238E+03   0.416538E+01   0.405079E-01  -0.735199E+01
  2296   0.116145E+03   0.414001E+01   0.404677E-01  -0.731913E+01
  2297   0.116049E+03   0.411486E+01   0.404276E-01  -0.728558E+01
  2298   0.115952E+03   0.408994E+01   0.403874E-01  -0.725144E+01
  2299   0.115853E+03   0.406526E+01   0.403473E-01  -0.721659E+01
  2300   0.115751E+03   0.404084E+01   0.403073E-01  -0.718108E+01
  2301   0.115646E+03   0.401668E+01   0.402672E-01  -0.714507E+01
  2302   0.115540E+03   0.399279E+01   0.402272E-01  -0.710837E+01
  2303   0.115430E+03   0.396916E+01   0.401872E-01  -0.707120E+01
  2304   0.115319E+03   0.394578E+01   0.401472E-01  -0.703335E+01
  2305   0.115204E+03   0.392268E+01   0.401072E-01  -0.699497E+01
  2306   0.115088E+03   0.389982E+01   0.400672E-01  -0.695601E+01
  2307   0.114969E+03   0.387723E+01   0.400273E-01  -0.691646E+01
  2308   0.114848E+03   0.385490E+01   0.399873E-01  -0.687634E+01
  2309   0.114724E+03   0.383283E+01   0.399473E-01  -0.683565E+01
  2310   0.114598E+03   0.381101E+01   0.399073E-01  -0.679447E+01
  2311   0.114470E+03   0.378945E+01   0.398673E-01  -0.675272E+01
  2312   0.114339E+03   0.376816E+01   0.398273E-01  -0.671035E+01
  2313   0.114205E+03   0.374711E+01   0.397873E-01  -0.666749E+01
  2314   0.114070E+03   0.372634E+01   0.397473E-01  -0.662416E+01
  2315   0.113933E+03   0.370582E+01   0.397072E-01  -0.658021E+01
  2316   0.113792E+03   0.368556E+01   0.396672E-01  -0.653578E+01
  2317   0.113650E+03   0.366557E+01   0.396271E-01  -0.649081E+01
  2318   0.113505E+03   0.364583E+01   0.395869E-01  -0.644530E+01
  2319   0.113357E+03   0.362636E+01   0.395468E-01  -0.639932E+01
  2320   0.113208E+03   0.360716E+01   0.395066E-01  -0.635287E+01
  2321   0.113055E+03   0.358822E+01   0.394664E-01  -0.630589E+01
  2322   0.112900E+03   0.356955E+01   0.394261E-01  -0.625845E+01
  2323   0.112744E+03   0.355115E+01   0.393858E-01  -0.621055E+01
  2324   0.112585E+03   0.353303E+01   0.393455E-01  -0.616219E+01
  2325   0.112423E+03   0.351519E+01   0.393051E-01  -0.611346E+01
  2326   0.112258E+03   0.349764E+01   0.392647E-01  -0.606428E+01
  2327   0.112092E+03   0.348036E+01   0.392243E-01  -0.601465E+01
  2328   0.111923E+03   0.346339E+01   0.391838E-01  -0.596474E+01
  2329   0.111752E+03   0.344670E+01   0.391432E-01  -0.591446E+01
  2330   0.111578E+03   0.343031E+01   0.391027E-01  -0.586383E+01
  2331   0.111402E+03   0.341422E+01   0.390620E-01  -0.581293E+01
  2332   0.111224E+03   0.339842E+01   0.390214E-01  -0.576169E+01
  2333   0.111043E+03   0.338292E+01   0.389807E-01  -0.571020E+01
  2334   0.110860E+03   0.336772E+01   0.389399E-01  -0.565846E+01
  2335   0.110674E+03   0.335283E+01   0.388991E-01  -0.560648E+01
  2336   0.110486E+03   0.333824E+01   0.388583E-01  -0.555436E+01
  2337   0.110295E+03   0.332396E+01   0.388174E-01  -0.550210E+01
  2338   0.110102E+03   0.330998E+01   0.387765E-01  -0.544964E+01
  2339   0.109907E+03   0.329632E+01   0.387356E-01  -0.539714E+01
  2340   0.109709E+03   0.328299E+01   0.386946E-01  -0.534462E+01
  2341   0.109509E+03   0.326996E+01   0.386535E-01  -0.529202E+01
  2342   0.109307E+03   0.325726E+01   0.386125E-01  -0.523943E+01
  2343   0.109102E+03   0.324488E+01   0.385714E-01  -0.518694E+01
  2344   0.108894E+03   0.323282E+01   0.385303E-01  -0.513457E+01
  2345   0.108685E+03   0.322109E+01   0.384891E-01  -0.508227E+01
  2346   0.108473E+03   0.320968E+01   0.384479E-01  -0.503019E+01
  2347   0.108259E+03   0.319860E+01   0.384067E-01  -0.497830E+01
  2348   0.108042E+03   0.318785E+01   0.383655E-01  -0.492667E+01
  2349   0.107823E+03   0.317742E+01   0.383242E-01  -0.487534E+01
  2350   0.107602E+03   0.316733E+01   0.382830E-01  -0.482439E+01
  2351   0.107379E+03   0.315757E+01   0.382416E-01  -0.477378E+01
  2352   0.107154E+03   0.314813E+01   0.382003E-01  -0.472362E+01
  2353   0.106926E+03   0.313902E+01   0.381590E-01  -0.467385E+01
  2354   0.106696E+03   0.313024E+01   0.381176E-01  -0.462457E+01
  2355   0.106464E+03   0.312178E+01   0.380762E-01  -0.457564E+01
  2356   0.106230E+03   0.311365E+01   0.380348E-01  -0.452717E+01
  2357   0.105994E+03   0.310582E+01   0.379934E-01  -0.447924E+01
  2358   0.105755E+03   0.309832E+01   0.379520E-01  -0.443173E+01
  2359   0.105516E+03   0.309113E+01   0.379105E-01  -0.438472E+01
  2360   0.105274E+03   0.308424E+01   0.378691E-01  -0.433811E+01
  2361   0.105030E+03   0.307764E+01   0.378276E-01  -0.429209E+01
  2362   0.104784E+03   0.307136E+01   0.377861E-01  -0.424651E+01
  2363   0.104536E+03   0.306536E+01   0.377446E-01  -0.420149E+01
  2364   0.104286E+03   0.305965E+01   0.377031E-01  -0.415694E+01
  2365   0.104034E+03   0.305423E+01   0.376615E-01  -0.411298E+01
  2366   0.103782E+03   0.304909E+01   0.376200E-01  -0.406952E+01
  2367   0.103526E+03   0.304423E+01   0.375784E-01  -0.402661E+01
  2368   0.103270E+03   0.303964E+01   0.375368E-01  -0.398422E+01
  2369   0.103012E+03   0.303533E+01   0.374952E-01  -0.394248E+01
  2370   0.102752E+03   0.303128E+01   0.374535E-01  -0.390121E+01
  2371   0.102491E+03   0.302750E+01   0.374119E-01  -0.386055E+01
  2372   0.102228E+03   0.302398E+01   0.373702E-01  -0.382045E+01
  2373   0.101965E+03   0.302071E+01   0.373285E-01  -0.378097E+01
  2374   0.101699E+03   0.301770E+01   0.372868E-01  -0.374209E+01
  2375   0.101433E+03   0.301493E+01   0.372451E-01  -0.370377E+01
  2376   0.101165E+03   0.301240E+01   0.372033E-01  -0.366605E+01
  2377   0.100896E+03   0.301012E+01   0.371615E-01  -0.362891E+01
  2378   0.100626E+03   0.300806E+01   0.371196E-01  -0.359237E+01
  2379   0.100354E+03   0.300624E+01   0.370778E-01  -0.355643E+01
  2380   0.100083E+03   0.300465E+01   0.370359E-01  -0.352110E+01
  2381   0.998092E+02   0.300327E+01   0.369940E-01  -0.348636E+01
  2382   0.995347E+02   0.300211E+01   0.369520E-01  -0.345222E+01
  2383   0.992594E+02   0.300116E+01   0.369100E-01  -0.341869E+01
  2384   0.989831E+02   0.300043E+01   0.368680E-01  -0.338574E+01
  2385   0.987068E+02   0.299989E+01   0.368259E-01  -0.335340E+01
  2386   0.984290E+02   0.299955E+01   0.367838E-01  -0.332165E+01
  2387   0.981505E+02   0.299940E+01   0.367417E-01  -0.329052E+01
  2388   0.978720E+02   0.299945E+01   0.366995E-01  -0.326000E+01
  2389   0.975929E+02   0.299968E+01   0.366573E-01  -0.323009E+01
  2390   0.973125E+02   0.300009E+01   0.366150E-01  -0.320080E+01
  2391   0.970324E+02   0.300068E+01   0.365727E-01  -0.317214E+01
  2392   0.967525E+02   0.300144E+01   0.365304E-01  -0.314411E+01
  2393   0.964714E+02   0.300236E+01   0.364880E-01  -0.311671E+01
  2394   0.961907E+02   0.300345E+01   0.364456E-01  -0.308995E+01
  2395   0.959096E+02   0.300469E+01   0.364032E-01  -0.306383E+01
  2396   0.956290E+02   0.300607E+01   0.363607E-01  -0.303837E+01
  2397   0.953482E+02   0.300760E+01   0.363182E-01  -0.301356E+01
  2398   0.950671E+02   0.300927E+01   0.362757E-01  -0.298942E+01
  2399   0.947867E+02   0.301107E+01   0.362331E-01  -0.296596E+01
  2400   0.945062E+02   0.301299E+01   0.361905E-01  -0.294320E+01
  2401   0.942256E+02   0.301502E+01   0.361479E-01  -0.292114E+01
  2402   0.939464E+02   0.301717E+01   0.361053E-01  -0.289977E+01
  2403   0.936663E+02   0.301944E+01   0.360626E-01  -0.287911E+01
  2404   0.933876E+02   0.302182E+01   0.360199E-01  -0.285914E+01
  2405   0.931086E+02   0.302433E+01   0.359772E-01  -0.283986E+01
  2406   0.928301E+02   0.302695E+01   0.359345E-01  -0.282126E+01
  2407   0.925520E+02   0.302968E+01   0.358918E-01  -0.280336E+01
  2408   0.922736E+02   0.303252E+01   0.358491E-01  -0.278614E+01
  2409   0.919963E+02   0.303547E+01   0.358063E-01  -0.276960E+01
  2410   0.917185E+02   0.303853E+01   0.357636E-01  -0.275376E+01
  2411   0.914418E+02   0.304170E+01   0.357208E-01  -0.273861E+01
  2412   0.911646E+02   0.304496E+01   0.356781E-01  -0.272416E+01
  2413   0.908884E+02   0.304834E+01   0.356354E-01  -0.271041E+01
  2414   0.906124E+02   0.305180E+01   0.355927E-01  -0.269737E+01
  2415   0.903365E+02   0.305536E+01   0.355500E-01  -0.268505E+01
  2416   0.900615E+02   0.305901E+01   0.355073E-01  -0.267345E+01
  2417   0.897866E+02   0.306276E+01   0.354646E-01  -0.266258E+01
  2418   0.895126E+02   0.306658E+01   0.354219E-01  -0.265246E+01
  2419   0.892385E+02   0.307049E+01   0.353793E-01  -0.264309E+01
  2420   0.889660E+02   0.307446E+01   0.353367E-01  -0.263447E+01
  2421   0.886936E+02   0.307851E+01   0.352941E-01  -0.262662E+01
  2422   0.884218E+02   0.308262E+01   0.352516E-01  -0.261954E+01
  2423   0.881515E+02   0.308678E+01   0.352091E-01  -0.261324E+01
  2424   0.878812E+02   0.309100E+01   0.351666E-01  -0.260772E+01
  2425   0.876123E+02   0.309528E+01   0.351241E-01  -0.260299E+01
  2426   0.873441E+02   0.309959E+01   0.350817E-01  -0.259905E+01
  2427   0.870765E+02   0.310393E+01   0.350394E-01  -0.259590E+01
  2428   0.868102E+02   0.310831E+01   0.349970E-01  -0.259356E+01
  2429   0.865454E+02   0.311271E+01   0.349547E-01  -0.259202E+01
  2430   0.862811E+02   0.311712E+01   0.349125E-01  -0.259127E+01
  2431   0.860182E+02   0.312155E+01   0.348703E-01  -0.259134E+01
  2432   0.857566E+02   0.312597E+01   0.348281E-01  -0.259220E+01
  2433   0.854963E+02   0.313039E+01   0.347860E-01  -0.259385E+01
  2434   0.852381E+02   0.313480E+01   0.347439E-01  -0.259630E+01
  2435   0.849803E+02   0.313920E+01   0.347019E-01  -0.259953E+01
  2436   0.847246E+02   0.314356E+01   0.346599E-01  -0.260354E+01
  2437   0.844701E+02   0.314789E+01   0.346180E-01  -0.260832E+01
  2438   0.842177E+02   0.315218E+01   0.345761E-01  -0.261384E+01
  2439   0.839664E+02   0.315642E+01   0.345342E-01  -0.262011E+01
  2440   0.837171E+02   0.316061E+01   0.344924E-01  -0.262710E+01
  2441   0.834697E+02   0.316473E+01   0.344506E-01  -0.263481E+01
  2442   0.832242E+02   0.316878E+01   0.344089E-01  -0.264321E+01
  2443   0.829799E+02   0.317275E+01   0.343672E-01  -0.265227E+01
  2444   0.827382E+02   0.317663E+01   0.343255E-01  -0.266199E+01
  2445   0.824992E+02   0.318043E+01   0.342839E-01  -0.267234E+01
  2446   0.822612E+02   0.318411E+01   0.342423E-01  -0.268328E+01
  2447   0.820265E+02   0.318769E+01   0.342008E-01  -0.269482E+01
  2448   0.817937E+02   0.319116E+01   0.341593E-01  -0.270690E+01
  2449   0.815626E+02   0.319449E+01   0.341178E-01  -0.271951E+01
  2450   0.813348E+02   0.319770E+01   0.340764E-01  -0.273262E+01
  2451   0.811087E+02   0.320076E+01   0.340350E-01  -0.274620E+01
  2452   0.808857E+02   0.320368E+01   0.339936E-01  -0.276022E+01
  2453   0.806643E+02   0.320647E+01   0.339523E-01  -0.277468E+01
  2454   0.804457E+02   0.320912E+01   0.339110E-01  -0.278955E+01
  2455   0.802293E+02   0.321164E+01   0.338697E-01  -0.280481E+01
  2456   0.800154E+02   0.321402E+01   0.338285E-01  -0.282043E+01
