#           k/h    P           
   0.420980E-02   0.144487E+05
   0.429484E-02   0.146648E+05
   0.438160E-02   0.148826E+05
   0.447012E-02   0.151020E+05
   0.456042E-02   0.153229E+05
   0.465255E-02   0.155455E+05
   0.474653E-02   0.157694E+05
   0.484242E-02   0.159948E+05
   0.494024E-02   0.162215E+05
   0.504004E-02   0.164495E+05
   0.514186E-02   0.166786E+05
   0.524573E-02   0.169089E+05
   0.535170E-02   0.171402E+05
   0.545981E-02   0.173724E+05
   0.557011E-02   0.176056E+05
   0.568263E-02   0.178396E+05
   0.579743E-02   0.180742E+05
   0.591455E-02   0.183094E+05
   0.603403E-02   0.185450E+05
   0.615592E-02   0.187809E+05
   0.628028E-02   0.190170E+05
   0.640715E-02   0.192530E+05
   0.653658E-02   0.194891E+05
   0.666863E-02   0.197248E+05
   0.680335E-02   0.199603E+05
   0.694078E-02   0.201953E+05
   0.708100E-02   0.204296E+05
   0.722404E-02   0.206632E+05
   0.736998E-02   0.208958E+05
   0.751886E-02   0.211274E+05
   0.767075E-02   0.213578E+05
   0.782571E-02   0.215867E+05
   0.798380E-02   0.218140E+05
   0.814509E-02   0.220395E+05
   0.830963E-02   0.222631E+05
   0.847750E-02   0.224844E+05
   0.864875E-02   0.227034E+05
   0.882347E-02   0.229198E+05
   0.900171E-02   0.231333E+05
   0.918356E-02   0.233438E+05
   0.936908E-02   0.235509E+05
   0.955835E-02   0.237546E+05
   0.975144E-02   0.239545E+05
   0.994843E-02   0.241504E+05
   0.101494E-01   0.243420E+05
   0.103544E-01   0.245291E+05
   0.105636E-01   0.247115E+05
   0.107770E-01   0.248887E+05
   0.109947E-01   0.250607E+05
   0.112168E-01   0.252271E+05
   0.114434E-01   0.253875E+05
   0.116746E-01   0.255419E+05
   0.119104E-01   0.256897E+05
   0.121510E-01   0.258308E+05
   0.123965E-01   0.259649E+05
   0.126469E-01   0.260916E+05
   0.129024E-01   0.262106E+05
   0.131631E-01   0.263217E+05
   0.134290E-01   0.264245E+05
   0.137003E-01   0.265187E+05
   0.139770E-01   0.266041E+05
   0.142594E-01   0.266802E+05
   0.145474E-01   0.267469E+05
   0.148413E-01   0.268038E+05
   0.151411E-01   0.268507E+05
   0.154470E-01   0.268872E+05
   0.157590E-01   0.269131E+05
   0.160774E-01   0.269281E+05
   0.164022E-01   0.269319E+05
   0.167335E-01   0.269243E+05
   0.170716E-01   0.269051E+05
   0.174164E-01   0.268740E+05
   0.177683E-01   0.268308E+05
   0.181272E-01   0.267754E+05
   0.184934E-01   0.267075E+05
   0.188670E-01   0.266270E+05
   0.192481E-01   0.265339E+05
   0.196370E-01   0.264280E+05
   0.200337E-01   0.263092E+05
   0.204384E-01   0.261775E+05
   0.208513E-01   0.260329E+05
   0.212725E-01   0.258754E+05
   0.217022E-01   0.257052E+05
   0.221406E-01   0.255222E+05
   0.225879E-01   0.253266E+05
   0.230442E-01   0.251186E+05
   0.235097E-01   0.248985E+05
   0.239847E-01   0.246666E+05
   0.244692E-01   0.244230E+05
   0.249635E-01   0.241683E+05
   0.254678E-01   0.239027E+05
   0.259823E-01   0.236269E+05
   0.265072E-01   0.233413E+05
   0.270426E-01   0.230464E+05
   0.275889E-01   0.227429E+05
   0.281463E-01   0.224314E+05
   0.287149E-01   0.221126E+05
   0.292949E-01   0.217874E+05
   0.298867E-01   0.214566E+05
   0.304905E-01   0.211207E+05
   0.311064E-01   0.207809E+05
   0.317348E-01   0.204379E+05
   0.323759E-01   0.200927E+05
   0.330299E-01   0.197462E+05
   0.336972E-01   0.193992E+05
   0.343779E-01   0.190528E+05
